,Suburb,Primary_School_Number,Secondary_School_Number,Special_School_Number,PS_School_Number,School_Total,Region
0,ABBOTSFORD,3.0,2.0,0.0,2.0,3.0,NOTHERN
1,ABERFELDIE,1.0,1.0,0.0,0.0,2.0,WESTERN
2,AIRPORT WEST,1.0,0.0,0.0,0.0,1.0,WESTERN
3,ALBERT PARK,1.0,0.0,0.0,0.0,1.0,SOUTHERN
4,ALBERTON,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
5,ALBION,2.0,0.0,0.0,0.0,2.0,WESTERN
6,ALEXANDRA,2.0,1.0,0.0,0.0,3.0,HUME
7,ALFREDTON,2.0,0.0,0.0,0.0,2.0,GRAMPIANS
8,ALPHINGTON,3.0,1.0,0.0,1.0,3.0,NOTHERN
9,ALTONA,3.0,0.0,0.0,0.0,3.0,WESTERN
10,ALTONA MEADOWS,2.0,0.0,0.0,0.0,2.0,WESTERN
11,ALTONA NORTH,4.0,3.0,0.0,1.0,6.0,WESTERN
12,ANGLESEA,1.0,0.0,0.0,0.0,1.0,BARWON
13,APSLEY,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
14,ARARAT,4.0,2.0,0.0,0.0,6.0,GRAMPIANS
15,ARDEER,2.0,0.0,0.0,0.0,2.0,WESTERN
16,ARMADALE,2.0,1.0,0.0,1.0,2.0,SOUTHERN
17,ASCOT VALE,2.0,0.0,1.0,0.0,3.0,WESTERN
18,ASPENDALE,1.0,0.0,1.0,0.0,2.0,SOUTHERN
19,ASPENDALE GARDENS,1.0,0.0,0.0,0.0,1.0,SOUTHERN
20,AVENEL,1.0,0.0,0.0,0.0,1.0,HUME
21,AVOCA,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
22,AVONDALE HEIGHTS,2.0,0.0,0.0,0.0,2.0,WESTERN
23,BACCHUS MARSH,3.0,2.0,0.0,1.0,4.0,GRAMPIANS
24,BALLARAT,7.0,5.0,0.0,1.0,11.0,GRAMPIANS
25,BALWYN,4.0,3.0,1.0,3.0,5.0,EASTERN
26,BALWYN NORTH,6.0,1.0,0.0,0.0,7.0,EASTERN
27,BARWON HEADS,1.0,0.0,0.0,0.0,1.0,BARWON
28,BAXTER,1.0,0.0,0.0,0.0,1.0,SOUTHERN
29,BEACONSFIELD,1.0,1.0,0.0,0.0,2.0,SOUTHERN
30,BEACONSFIELD UPPER,1.0,0.0,0.0,0.0,1.0,SOUTHERN
31,BEALIBA,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
32,BEAUFORT,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
33,BEAUMARIS,2.0,0.0,0.0,0.0,2.0,SOUTHERN
34,BENALLA,2.0,1.0,1.0,0.0,4.0,HUME
35,BENDIGO,5.0,5.0,1.0,2.0,9.0,LODDEN MALLEE
36,BENTLEIGH,3.0,1.0,0.0,0.0,4.0,SOUTHERN
37,BENTLEIGH EAST,3.0,2.0,0.0,0.0,5.0,SOUTHERN
38,BERWICK,7.0,5.0,1.0,3.0,10.0,SOUTHERN
39,BETHANGA,1.0,0.0,0.0,0.0,1.0,HUME
40,BEULAH,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
41,BEVERFORD,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
42,BEVERIDGE,1.0,0.0,0.0,0.0,1.0,HUME
43,BIRREGURRA,1.0,0.0,0.0,0.0,1.0,BARWON
44,BITTERN,1.0,0.0,0.0,0.0,1.0,SOUTHERN
45,BLACK ROCK,2.0,0.0,0.0,0.0,2.0,SOUTHERN
46,BRANXHOLME,1.0,0.0,0.0,0.0,1.0,BARWON
47,BRAYBROOK,1.0,2.0,0.0,0.0,3.0,WESTERN
48,BRIAR HILL,2.0,0.0,0.0,0.0,2.0,NORTHERN
49,BRIDGEWATER,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
50,BRIGHT,2.0,1.0,0.0,1.0,2.0,HUME
51,BRIGHTON,7.0,3.0,0.0,2.0,8.0,SOUTHERN
52,BRIGHTON EAST,3.0,2.0,0.0,1.0,4.0,SOUTHERN
53,BROADFORD,1.0,1.0,0.0,0.0,2.0,HUME
54,BROADMEADOWS,1.0,0.0,1.0,0.0,2.0,NORTHERN
55,BRUNSWICK EAST,3.0,0.0,0.0,0.0,3.0,NORTHERN
56,BRUNSWICK WEST,4.0,0.0,0.0,0.0,4.0,NORTHERN
57,BRUTHEN,2.0,0.0,0.0,0.0,2.0,GIPPSLAND
58,BUANGOR,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
59,BUCHAN,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
60,BULLEEN,2.0,1.0,1.0,0.0,4.0,EASTERN
61,BUNDOORA,4.0,3.0,1.0,1.0,7.0,NORTHERN
62,BUNINYONG,2.0,0.0,0.0,0.0,2.0,GRAMPIANS
63,BUNYIP,2.0,0.0,0.0,0.0,2.0,SOUTHERN
64,BURWOOD,4.0,2.0,0.0,2.0,4.0,EASTERN
65,CABARITA,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
66,CALIFORNIA GULLY,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
67,CAMBERWELL,2.0,1.0,0.0,0.0,3.0,EASTERN
68,CAMPBELLFIELD,2.0,1.0,0.0,1.0,2.0,NORTHERN
69,CAMPBELLS CREEK,2.0,1.0,0.0,1.0,2.0,LODDEN MALLEE
70,CAMPERDOWN,2.0,2.0,0.0,1.0,3.0,BARWON
71,CANTERBURY,3.0,4.0,0.0,2.0,5.0,EASTERN
72,CARDINIA,1.0,0.0,0.0,0.0,1.0,SOUTHERN
73,CARDROSS,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
74,CARLISLE RIVER,1.0,0.0,0.0,0.0,1.0,BARWON
75,CARLTON,2.0,0.0,0.0,0.0,2.0,WESTERN
76,CARLTON NORTH,2.0,0.0,0.0,0.0,2.0,NORTHERN
77,CARNEGIE,1.0,0.0,0.0,0.0,1.0,SOUTHERN
78,CARRUM DOWNS,3.0,1.0,0.0,0.0,4.0,SOUTHERN
79,CASTERTON,2.0,1.0,0.0,0.0,3.0,BARWON
80,CASTLEMAINE,5.0,2.0,0.0,1.0,6.0,LODDEN MALLEE
81,CAULFIELD,2.0,1.0,0.0,1.0,2.0,SOUTHERN
82,CAULFIELD NORTH,1.0,1.0,0.0,0.0,2.0,SOUTHERN
83,CAULFIELD SOUTH,5.0,3.0,0.0,3.0,5.0,SOUTHERN
84,CAVENDISH,1.0,0.0,0.0,0.0,1.0,BARWON
85,CERES,1.0,0.0,0.0,0.0,1.0,BARWON
86,CHADSTONE,1.0,1.0,0.0,0.0,2.0,EASTERN
87,CHARLTON,2.0,1.0,0.0,1.0,2.0,LODDEN MALLEE
88,CHELSEA,2.0,0.0,0.0,0.0,2.0,SOUTHERN
89,CHELSEA HEIGHTS,1.0,0.0,0.0,0.0,1.0,SOUTHERN
90,CHEWTON,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
91,CHILTERN,2.0,0.0,0.0,0.0,2.0,HUME
92,CHURCHILL,3.0,0.0,0.0,0.0,3.0,GIPPSLAND
93,CLARINDA,2.0,1.0,0.0,1.0,2.0,SOUTHERN
94,CLAYTON,2.0,0.0,0.0,0.0,2.0,EASTERN
95,CLAYTON SOUTH,3.0,1.0,0.0,0.0,4.0,SOUTHERN
96,CLIFTON HILL,3.0,0.0,0.0,0.0,3.0,NORTHERN
97,CLYDE,2.0,0.0,0.0,0.0,2.0,SOUTHERN
98,COBDEN,1.0,1.0,1.0,0.0,3.0,BARWON
99,COBRAM,3.0,1.0,1.0,0.0,5.0,HUME
100,COBURG,4.0,2.0,1.0,1.0,6.0,NORTHERN
101,COHUNA,2.0,1.0,0.0,0.0,3.0,LODDEN MALLEE
102,COIMADAI,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
103,COLAC,5.0,1.0,1.0,0.0,7.0,BARWON
104,COLBINABBIN,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
105,COLDSTREAM,1.0,0.0,0.0,0.0,1.0,EASTERN
106,COLERAINE,1.0,0.0,0.0,0.0,1.0,BARWON
107,COLLINGWOOD,1.0,0.0,0.0,0.0,1.0,NORTHERN
108,CONCONGELLA,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
109,CORAGULAC,1.0,0.0,0.0,0.0,1.0,BARWON
110,CORINELLA,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
111,CORIO,3.0,2.0,0.0,2.0,3.0,BARWON
112,CORRYONG,2.0,1.0,0.0,1.0,2.0,HUME
113,COWES,2.0,0.0,0.0,0.0,2.0,GIPPSLAND
114,CRAIGIEBURN,6.0,3.0,0.0,1.0,8.0,NORTHERN
115,CRANBOURNE,7.0,4.0,0.0,1.0,10.0,SOUTHERN
116,CRANBOURNE NORTH,1.0,0.0,0.0,0.0,1.0,SOUTHERN
117,CRANBOURNE SOUTH,1.0,0.0,0.0,0.0,1.0,SOUTHERN
118,CRESWICK,3.0,0.0,0.0,0.0,3.0,GRAMPIANS
119,CRIB POINT,3.0,0.0,0.0,0.0,3.0,SOUTHERN
120,CROYDON,4.0,0.0,1.0,0.0,5.0,EASTERN
121,CUDGEE,1.0,0.0,0.0,0.0,1.0,BARWON
122,DALLAS,5.0,4.0,0.0,3.0,6.0,NORTHERN
123,DALYSTON,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
124,DANDENONG,6.0,2.0,1.0,0.0,9.0,SOUTHERN
125,DANDENONG NORTH,3.0,1.0,0.0,0.0,4.0,SOUTHERN
126,DARNUM,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
127,DARRAWEIT GUIM,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
128,DARTMOOR,1.0,0.0,0.0,0.0,1.0,BARWON
129,DAYLESFORD,3.0,1.0,0.0,0.0,4.0,GRAMPIANS
130,DEANS MARSH,1.0,0.0,0.0,0.0,1.0,BARWON
131,DEDERANG,1.0,0.0,0.0,0.0,1.0,HUME
132,DEER PARK,3.0,0.0,0.0,0.0,3.0,WESTERN
133,DEVENISH,1.0,0.0,0.0,0.0,1.0,HUME
134,DEVON MEADOWS,1.0,0.0,0.0,0.0,1.0,SOUTHERN
135,DHURRINGILE,1.0,0.0,0.0,0.0,1.0,HUME
136,DIAMOND CREEK,4.0,1.0,0.0,0.0,5.0,NORTHERN
137,DIGGERS REST,1.0,0.0,0.0,0.0,1.0,WESTERN
138,DIMBOOLA,2.0,1.0,0.0,0.0,3.0,GRAMPIANS
139,DINGLEY,1.0,0.0,0.0,0.0,1.0,SOUTHERN
140,DINGLEY VILLAGE,2.0,0.0,0.0,0.0,2.0,SOUTHERN
141,DONALD,2.0,1.0,0.0,0.0,3.0,LODDEN MALLEE
142,DONCASTER,2.0,1.0,0.0,0.0,3.0,EASTERN
143,DONCASTER EAST,6.0,1.0,0.0,0.0,7.0,EASTERN
144,DONVALE,2.0,2.0,1.0,1.0,4.0,EASTERN
145,DOOKIE,1.0,0.0,0.0,0.0,1.0,HUME
146,DOVETON,2.0,1.0,0.0,1.0,2.0,SOUTHERN
147,DROMANA,1.0,1.0,1.0,0.0,3.0,SOUTHERN
148,DROUIN,5.0,2.0,0.0,1.0,6.0,GIPPSLAND
149,DRYSDALE,3.0,2.0,0.0,0.0,5.0,BARWON
150,DUNKELD,1.0,0.0,0.0,0.0,1.0,BARWON
151,DUNNSTOWN,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
152,DUNOLLY,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
153,EAGLE POINT,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
154,EAGLEHAWK,3.0,1.0,0.0,0.0,4.0,LODDEN MALLEE
155,ECHUCA,3.0,3.0,1.0,1.0,6.0,LODDEN MALLEE
156,EDENHOPE,2.0,1.0,0.0,1.0,2.0,GRAMPIANS
157,EDI UPPER,1.0,0.0,0.0,0.0,1.0,HUME
158,EDITHVALE,1.0,0.0,0.0,0.0,1.0,SOUTHERN
159,EILDON,1.0,0.0,0.0,0.0,1.0,HUME
160,ELMHURST,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
161,ELMORE,2.0,0.0,0.0,0.0,2.0,LODDEN MALLEE
162,ELPHINSTONE,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
163,ELSTERNWICK,5.0,3.0,0.0,3.0,5.0,SOUTHERN
164,ELTHAM,4.0,3.0,0.0,1.0,6.0,NORTHERN
165,ELTHAM NORTH,3.0,1.0,0.0,0.0,4.0,NORTHERN
166,ELWOOD,3.0,2.0,0.0,1.0,4.0,SOUTHERN
167,EMERALD,1.0,1.0,0.0,0.0,2.0,SOUTHERN
168,ENDEAVOUR HILLS,8.0,1.0,0.0,1.0,8.0,SOUTHERN
169,EPPING,3.0,5.0,0.0,1.0,7.0,NORTHERN
170,ESKDALE,1.0,0.0,0.0,0.0,1.0,HUME
171,ESSENDON,4.0,4.0,0.0,1.0,7.0,WESTERN
172,EUROA,2.0,1.0,0.0,0.0,3.0,HUME
173,FAIRFIELD,1.0,0.0,0.0,0.0,1.0,NORTHERN
174,FAWKNER,4.0,1.0,0.0,1.0,4.0,NORTHERN
175,FERNTREE GULLY,5.0,2.0,1.0,0.0,8.0,EASTERN
176,FITZROY,2.0,1.0,1.0,0.0,4.0,NORTHERN
177,FITZROY NORTH,3.0,1.0,0.0,0.0,4.0,NORTHERN
178,FLEMINGTON,3.0,2.0,0.0,0.0,5.0,WESTERN
179,FLOWERDALE,1.0,0.0,0.0,0.0,1.0,HUME
180,FOOTSCRAY,2.0,2.0,0.0,0.0,4.0,WESTERN
181,FORREST,1.0,0.0,0.0,0.0,1.0,BARWON
182,FOSTER,1.0,1.0,0.0,0.0,2.0,GIPPSLAND
183,FRANKSTON,5.0,3.0,0.0,1.0,7.0,SOUTHERN
184,FRESHWATER CREEK,1.0,0.0,0.0,0.0,1.0,BARWON
185,GARFIELD,1.0,0.0,0.0,0.0,1.0,SOUTHERN
186,GEELONG,6.0,5.0,0.0,3.0,8.0,BARWON
187,GEELONG EAST,3.0,0.0,0.0,0.0,3.0,BARWON
188,GEELONG WEST,2.0,0.0,0.0,0.0,2.0,BARWON
189,GIRGARRE,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
190,GISBORNE,3.0,1.0,0.0,0.0,4.0,LODDEN MALLEE
191,GLADSTONE PARK,3.0,1.0,0.0,0.0,4.0,NORTHERN
192,GLEN HUNTLY,2.0,0.0,0.0,0.0,2.0,SOUTHERN
193,GLENGARRY,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
194,GLENROWAN,1.0,0.0,0.0,0.0,1.0,HUME
195,GLENROY,4.0,2.0,1.0,1.0,6.0,NORTHERN
196,GOLDEN SQUARE,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
197,GOORNONG,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
198,GORDON,2.0,0.0,0.0,0.0,2.0,GRAMPIANS
199,GORMANDALE,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
200,GREAT WESTERN,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
201,GREENSBOROUGH,5.0,1.0,1.0,0.0,7.0,NORTHERN
202,GREENVALE,3.0,1.0,0.0,1.0,3.0,NORTHERN
203,GRETA SOUTH,1.0,0.0,0.0,0.0,1.0,HUME
204,GROVEDALE,4.0,1.0,0.0,0.0,5.0,BARWON
205,GUNBOWER,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
206,HADDON,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
207,HADFIELD,1.0,0.0,0.0,0.0,1.0,NORTHERN
208,HALLAM,1.0,0.0,0.0,0.0,1.0,SOUTHERN
209,HALLS GAP,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
210,HAMILTON,6.0,4.0,1.0,2.0,9.0,BARWON
211,HAMLYN HEIGHTS,2.0,0.0,0.0,0.0,2.0,BARWON
212,HAMPTON,1.0,0.0,0.0,0.0,1.0,SOUTHERN
213,HAMPTON PARK,5.0,1.0,0.0,0.0,6.0,SOUTHERN
214,HARCOURT,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
215,HARRIETVILLE,1.0,0.0,0.0,0.0,1.0,HUME
216,HASTINGS,3.0,1.0,0.0,0.0,4.0,SOUTHERN
217,HAWTHORN,6.0,3.0,1.0,2.0,8.0,EASTERN
218,HAWTHORN EAST,2.0,2.0,0.0,0.0,4.0,EASTERN
219,HEALESVILLE,3.0,1.0,1.0,0.0,5.0,EASTERN
220,HEATHCOTE,2.0,0.0,0.0,0.0,2.0,LODDEN MALLEE
221,HEIDELBERG,2.0,1.0,1.0,0.0,4.0,NORTHERN
222,HEIDELBERG WEST,1.0,0.0,0.0,0.0,1.0,NORTHERN
223,HEYFIELD,2.0,0.0,0.0,0.0,2.0,GIPPSLAND
224,HEYWOOD,1.0,1.0,0.0,0.0,2.0,BARWON
225,HIGHETT,1.0,0.0,0.0,0.0,1.0,SOUTHERN
226,HIGHTON,4.0,1.0,0.0,1.0,4.0,BARWON
227,HOPETOUN,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
228,HOPPERS CROSSING,5.0,2.0,0.0,1.0,6.0,WE
229,HORSHAM,3.0,3.0,1.0,1.0,6.0,GRAMPIANS
230,HUNTLY,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
231,HUON,1.0,0.0,0.0,0.0,1.0,HUME
232,HURSTBRIDGE,2.0,0.0,0.0,0.0,2.0,NORTHERN
233,INGLEWOOD,2.0,0.0,0.0,0.0,2.0,LODDEN MALLEE
234,INVERLEIGH,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
235,INVERLOCH,2.0,0.0,0.0,0.0,2.0,GIPPSLAND
236,INVERMAY,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
237,IRYMPLE,4.0,3.0,0.0,2.0,5.0,LODDEN MALLEE
238,IVANHOE,4.0,2.0,0.0,2.0,4.0,NORTHERN
239,IVANHOE EAST,1.0,0.0,0.0,0.0,1.0,NORTHERN
240,JAMIESON,1.0,0.0,0.0,0.0,1.0,HUME
241,KALORAMA,1.0,0.0,0.0,0.0,1.0,EASTERN
242,KANGAROO FLAT,2.0,1.0,1.0,0.0,4.0,LODDEN MALLEE
243,KARINGAL,2.0,0.0,0.0,0.0,2.0,SOUTHERN
244,KATUNGA,2.0,0.0,0.0,0.0,2.0,HUME
245,KEALBA,1.0,0.0,0.0,0.0,1.0,WESTERN
246,KENNINGTON,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
247,KENSINGTON,2.0,0.0,0.0,0.0,2.0,WESTERN
248,KERANG,3.0,2.0,0.0,1.0,4.0,LODDEN MALLEE
249,KEW,8.0,6.0,3.0,6.0,11.0,EASTERN
250,KEW EAST,1.0,1.0,0.0,0.0,2.0,EASTERN
251,KEYSBOROUGH,5.0,4.0,0.0,4.0,5.0,SOUTHERN
252,KIALLA,1.0,0.0,0.0,0.0,1.0,HUME
253,KIALLA WEST,1.0,0.0,0.0,0.0,1.0,HUME
254,KILMORE,4.0,2.0,0.0,1.0,5.0,HUME
255,KILSYTH,4.0,0.0,0.0,0.0,4.0,EASTERN
256,KINGLAKE,1.0,0.0,0.0,0.0,1.0,HUME
257,KINGLAKE CENTRAL,1.0,0.0,0.0,0.0,1.0,HUME
258,KINGSBURY,2.0,0.0,0.0,0.0,2.0,NORTHERN
259,KINGSVILLE,1.0,0.0,1.0,0.0,2.0,WESTERN
260,KNOXFIELD,2.0,0.0,0.0,0.0,2.0,EASTERN
261,KOONDROOK,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
262,KOORLONG,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
263,KOROIT,2.0,0.0,0.0,0.0,2.0,BARWON
264,KORUMBURRA,2.0,1.0,0.0,0.0,3.0,GIPPSLAND
265,KYNETON,2.0,2.0,0.0,0.0,4.0,LODDEN MALLEE
266,LAKE BOGA,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
267,LAKE CHARM,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
268,LAKES ENTRANCE,3.0,1.0,0.0,0.0,4.0,GIPPSLAND
269,LAL LAL,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
270,LALOR,4.0,1.0,1.0,0.0,6.0,NORTHERN
271,LANCASTER,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
272,LANDSBOROUGH,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
273,LANG LANG,1.0,0.0,0.0,0.0,1.0,SOUTHERN
274,LANGLEY,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
275,LANGWARRIN,4.0,1.0,0.0,0.0,5.0,SOUTHERN
276,LARA,2.0,1.0,0.0,0.0,3.0,BARWON
277,LARA LAKE,1.0,0.0,0.0,0.0,1.0,BARWON
278,LAVERTON,1.0,0.0,0.0,0.0,1.0,WESTERN
279,LEITCHVILLE,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
280,LEMNOS,1.0,0.0,0.0,0.0,1.0,HUME
281,LEONGATHA,2.0,2.0,1.0,0.0,5.0,GIPPSLAND
282,LEOPOLD,1.0,0.0,0.0,0.0,1.0,BARWON
283,LETHBRIDGE,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
284,LILYDALE,5.0,4.0,0.0,2.0,7.0,EASTERN
285,LINTON,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
286,LITTLE RIVER,1.0,0.0,0.0,0.0,1.0,WESTERN
287,LOCH,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
288,LOCH SPORT,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
289,LOCKINGTON,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
290,LOCKWOOD,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
291,LOCKWOOD SOUTH,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
292,LONGWOOD,1.0,0.0,0.0,0.0,1.0,HUME
293,LOWER PLENTY,1.0,0.0,0.0,0.0,1.0,NORTHERN
294,LYSTERFIELD,1.0,0.0,0.0,0.0,1.0,SOUTHERN
295,MACARTHUR,1.0,0.0,0.0,0.0,1.0,BARWON
296,MACEDON,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
297,MAFFRA,2.0,1.0,0.0,0.0,3.0,GIPPSLAND
298,MAIDEN GULLY,2.0,1.0,0.0,1.0,2.0,LODDEN MALLEE
299,MALDON,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
300,MALMSBURY,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
301,MALVERN,4.0,2.0,0.0,2.0,4.0,SOUTHERN
302,MALVERN EAST,4.0,0.0,0.0,0.0,4.0,SOUTHERN
303,MANIFOLD HEIGHTS,2.0,0.0,0.0,0.0,2.0,BARWON
304,MANSFIELD,3.0,2.0,1.0,1.0,5.0,HUME
305,MARIBYRNONG,1.0,1.0,0.0,0.0,2.0,WESTERN
306,MARLO,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
307,MARNOO,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
308,MARONG,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
309,MAROONA,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
