,Suburb,Primary_School_Number,Secondary_School_Number,Special_School_Number,PS_School_Number,School_Total,Region
310,MARYBOROUGH,1.0,1.0,0.0,0.0,2.0,LODDEN MALLEE
311,MARYSVILLE,1.0,0.0,0.0,0.0,1.0,HUME
312,MEADOW HEIGHTS,2.0,0.0,0.0,0.0,2.0,NORTHERN
313,MEENIYAN,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
314,MELTON,6.0,4.0,1.0,1.0,10.0,WESTERN
315,MELTON SOUTH,4.0,2.0,0.0,1.0,5.0,WESTERN
316,MELTON WEST,2.0,0.0,0.0,0.0,2.0,WESTERN
317,MENTONE,5.0,5.0,0.0,2.0,8.0,SOUTHERN
318,MERBEIN,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
319,MEREDITH,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
320,MERINO,1.0,0.0,0.0,0.0,1.0,BARWON
321,MERNDA,2.0,0.0,0.0,0.0,2.0,NORTHERN
322,METUNG,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
323,MILAWA,1.0,0.0,0.0,0.0,1.0,HUME
324,MILDURA,6.0,4.0,1.0,1.0,10.0,LODDEN MALLEE
325,MILDURA SOUTH,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
326,MILL PARK,5.0,1.0,0.0,0.0,6.0,NORTHERN
327,MINERS REST,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
328,MINYIP,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
329,MIRBOO NORTH,1.0,1.0,0.0,0.0,2.0,GIPPSLAND
330,MITCHAM,4.0,1.0,0.0,0.0,5.0,EASTERN
331,MITTA MITTA,1.0,0.0,0.0,0.0,1.0,HUME
332,MOE,4.0,1.0,1.0,0.0,6.0,GIPPSLAND
333,MONBULK,3.0,2.0,0.0,1.0,4.0,EASTERN
334,MONTMORENCY,3.0,1.0,0.0,0.0,4.0,NORTHERN
335,MONTROSE,2.0,0.0,0.0,0.0,2.0,EASTERN
336,MOOLAP,1.0,0.0,0.0,0.0,1.0,BARWON
337,MOONEE PONDS,2.0,0.0,0.0,0.0,2.0,WESTERN
338,MOORABBIN,4.0,1.0,2.0,0.0,7.0,SOUTHERN
339,MOOROODUC,1.0,0.0,0.0,0.0,1.0,SOUTHERN
340,MOOROOLBARK,7.0,3.0,0.0,1.0,9.0,EASTERN
341,MOOROOPNA,4.0,1.0,0.0,0.0,5.0,HUME
342,MORDIALLOC,1.0,2.0,0.0,0.0,3.0,SOUTHERN
343,MORELAND,3.0,1.0,0.0,1.0,3.0,NORTHERN
344,MORIAC,1.0,0.0,0.0,0.0,1.0,BARWON
345,MORNINGTON,4.0,2.0,1.0,0.0,7.0,SOUTHERN
346,MORTLAKE,2.0,1.0,0.0,1.0,2.0,BARWON
347,MORWELL,2.0,0.0,0.0,0.0,2.0,GIPPSLAND
348,MOUNT CLEAR,2.0,1.0,0.0,0.0,3.0,GRAMPIANS
349,MOUNT ELIZA,4.0,1.0,0.0,0.0,5.0,SOUTHERN
350,MOUNT EVELYN,3.0,1.0,0.0,1.0,3.0,EASTERN
351,MOUNT MACEDON,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
352,MOUNT MARTHA,2.0,0.0,0.0,0.0,2.0,SOUTHERN
353,MOUNT WAVERLEY,5.0,3.0,0.0,1.0,7.0,EASTERN
354,MOYHU,1.0,0.0,0.0,0.0,1.0,HUME
355,MULGRAVE,2.0,1.0,1.0,0.0,4.0,EASTERN
356,MURCHISON,1.0,0.0,0.0,0.0,1.0,HUME
357,MURRABIT,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
358,MURRUMBEENA,2.0,0.0,0.0,0.0,2.0,SOUTHERN
359,MURTOA,2.0,1.0,0.0,1.0,2.0,GRAMPIANS
360,MYRNIONG,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
361,MYRTLEFORD,1.0,1.0,0.0,0.0,2.0,HUME
362,NAGAMBIE,2.0,0.0,0.0,0.0,2.0,HUME
363,NANGILOC,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
364,NAPOLEONS,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
365,NARRAWONG,1.0,0.0,0.0,0.0,1.0,BARWON
366,NATHALIA,2.0,2.0,0.0,0.0,4.0,HUME
367,NATIMUK,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
368,NEERIM SOUTH,1.0,1.0,0.0,0.0,2.0,GIPPSLAND
369,NEW GISBORNE,2.0,0.0,0.0,0.0,2.0,LODDEN MALLEE
370,NEWBOROUGH,3.0,0.0,0.0,0.0,3.0,GIPPSLAND
371,NEWCOMB,2.0,1.0,0.0,0.0,3.0,BARWON
372,NEWHAM,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
373,NEWPORT,3.0,0.0,0.0,0.0,3.0,WESTERN
374,NEWSTEAD,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
375,NEWTOWN,5.0,3.0,0.0,1.0,7.0,GRAMPIANS
376,NHILL,3.0,1.0,0.0,1.0,3.0,GRAMPIANS
377,NICHOLS POINT,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
378,NICHOLSON,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
379,NIDDRIE,3.0,3.0,0.0,1.0,5.0,WESTERN
380,NOBLE PARK,6.0,2.0,1.0,1.0,8.0,SOUTHERN
381,NOOJEE,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
382,NOORAT,1.0,0.0,0.0,0.0,1.0,BARWON
383,NORTH FITZROY,1.0,0.0,0.0,0.0,1.0,NORTHERN
384,NORTH MELBOURNE,2.0,1.0,2.0,0.0,5.0,WESTERN
385,NORTHCOTE,3.0,2.0,1.0,0.0,6.0,NORTHERN
386,NULLAWIL,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
387,NUMURKAH,2.0,1.0,0.0,0.0,3.0,HUME
388,NUNAWADING,1.0,1.0,0.0,0.0,2.0,EASTERN
389,NYAH WEST,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
390,NYORA,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
391,OAK PARK,1.0,0.0,0.0,0.0,1.0,NORTHERN
392,OAKLEIGH,3.0,2.0,0.0,1.0,4.0,EASTERN
393,OAKLEIGH SOUTH,2.0,1.0,0.0,0.0,3.0,EASTERN
394,OCEAN GROVE,3.0,0.0,0.0,0.0,3.0,BARWON
395,OFFICER,3.0,0.0,0.0,0.0,3.0,SOUTHERN
396,OMEO,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
397,ORBOST,3.0,1.0,0.0,0.0,4.0,GIPPSLAND
398,ORMOND,3.0,1.0,1.0,1.0,4.0,SOUTHERN
399,ORRVALE,1.0,0.0,0.0,0.0,1.0,HUME
400,OSBORNES FLAT,1.0,0.0,0.0,0.0,1.0,HUME
401,PAKENHAM,5.0,3.0,0.0,2.0,6.0,SOUTHERN
402,PANMURE,1.0,0.0,0.0,0.0,1.0,BARWON
403,PANTON HILL,1.0,0.0,0.0,0.0,1.0,NORTHERN
404,PARK ORCHARDS,2.0,0.0,0.0,0.0,2.0,EASTERN
405,PARKDALE,1.0,0.0,0.0,0.0,1.0,SOUTHERN
406,PASCOE VALE,3.0,1.0,0.0,0.0,4.0,NORTHERN
407,PATTERSON LAKES,1.0,0.0,0.0,0.0,1.0,SOUTHERN
408,PAYNESVILLE,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
409,PEARCEDALE,1.0,0.0,0.0,0.0,1.0,SOUTHERN
410,PENSHURST,2.0,0.0,0.0,0.0,2.0,BARWON
411,POINT COOK,4.0,2.0,0.0,2.0,4.0,WESTERN
412,POINT LONSDALE,1.0,0.0,0.0,0.0,1.0,BARWON
413,POMONAL,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
414,POOWONG,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
415,POREPUNKAH,1.0,0.0,0.0,0.0,1.0,HUME
416,PORT FAIRY,2.0,0.0,0.0,0.0,2.0,BARWON
417,PORT MELBOURNE,1.0,0.0,1.0,0.0,2.0,SOUTHERN
418,PORTLAND,4.0,2.0,1.0,0.0,7.0,BARWON
419,PORTLAND NORTH,1.0,0.0,0.0,0.0,1.0,BARWON
420,PRESTON,6.0,1.0,0.0,1.0,6.0,NORTHERN
421,PRESTON EAST,1.0,0.0,0.0,0.0,1.0,NORTHERN
422,PUCKAPUNYAL,1.0,0.0,0.0,0.0,1.0,HUME
423,PYALONG,1.0,0.0,0.0,0.0,1.0,HUME
424,QUARRY HILL,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
425,RAWSON,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
426,RAYWOOD,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
427,RED CLIFFS,3.0,1.0,0.0,0.0,4.0,LODDEN MALLEE
428,RED HILL,1.0,0.0,0.0,0.0,1.0,SOUTHERN
429,REDAN,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
430,REDESDALE,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
431,RESEARCH,1.0,0.0,0.0,0.0,1.0,NORTHERN
432,RESERVOIR,4.0,1.0,1.0,0.0,6.0,NORTHERN
433,RICHMOND,3.0,2.0,2.0,0.0,7.0,NORTHERN
434,RIDDELLS CREEK,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
435,RINGWOOD,4.0,4.0,0.0,1.0,7.0,EASTERN
436,RINGWOOD EAST,2.0,1.0,0.0,1.0,2.0,EASTERN
437,ROCHESTER,2.0,1.0,0.0,0.0,3.0,LODDEN MALLEE
438,ROKEWOOD,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
439,ROMSEY,1.0,1.0,0.0,0.0,2.0,LODDEN MALLEE
440,ROSANNA,4.0,1.0,0.0,0.0,5.0,NORTHERN
441,ROSEBUD,2.0,1.0,0.0,0.0,3.0,SOUTHERN
442,ROSEDALE,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
443,ROWVILLE,5.0,1.0,0.0,0.0,6.0,EASTERN
444,RUPANYUP,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
445,RUSHWORTH,2.0,1.0,0.0,1.0,2.0,LODDEN MALLEE
446,RUTHERGLEN,2.0,1.0,0.0,0.0,3.0,HUME
447,RYE,3.0,0.0,0.0,0.0,3.0,SOUTHERN
448,SALE,6.0,3.0,0.0,1.0,8.0,GIPPSLAND
449,SANDRINGHAM,3.0,1.0,0.0,0.0,4.0,SOUTHERN
450,SCORESBY,2.0,1.0,0.0,0.0,3.0,EASTERN
451,SEA LAKE,2.0,1.0,0.0,1.0,2.0,LODDEN MALLEE
452,SEAFORD,7.0,1.0,1.0,0.0,9.0,SOUTHERN
453,SEASPRAY,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
454,SEBASTOPOL,3.0,1.0,0.0,1.0,3.0,GRAMPIANS
455,SHELFORD,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
456,SHEPPARTON,8.0,7.0,1.0,2.0,14.0,HUME
457,SHEPPARTON EAST,1.0,0.0,0.0,0.0,1.0,HUME
458,SILVAN,1.0,0.0,0.0,0.0,1.0,EASTERN
459,SIMPSON,1.0,0.0,0.0,0.0,1.0,BARWON
460,SKIPTON,1.0,0.0,0.0,0.0,1.0,BARWON
461,SMYTHESDALE,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
462,SOMERS,2.0,0.0,0.0,0.0,2.0,SOUTHERN
463,SOMERVILLE,3.0,0.0,0.0,0.0,3.0,SOUTHERN
464,SORRENTO,2.0,0.0,0.0,0.0,2.0,SOUTHERN
465,SOUTH MELBOURNE,1.0,0.0,2.0,0.0,3.0,SOUTHERN
466,SOUTH MORANG,2.0,1.0,0.0,1.0,2.0,NORTHERN
467,SOUTH YARRA,4.0,2.0,1.0,1.0,6.0,SOUTHERN
468,SPOTSWOOD,1.0,0.0,0.0,0.0,1.0,WESTERN
469,SPRINGHURST,1.0,0.0,0.0,0.0,1.0,HUME
470,SPRINGVALE,3.0,2.0,0.0,1.0,4.0,SOUTHERN
471,SPRINGVALE SOUTH,2.0,0.0,0.0,0.0,2.0,SOUTHERN
472,ST ALBANS,10.0,2.0,1.0,0.0,13.0,WESTERN
473,ST ANDREWS,1.0,0.0,0.0,0.0,1.0,NORTHERN
474,ST KILDA,3.0,2.0,0.0,1.0,4.0,SOUTHERN
475,ST KILDA EAST,4.0,2.0,0.0,2.0,4.0,SOUTHERN
476,ST LEONARDS,1.0,0.0,0.0,0.0,1.0,BARWON
477,STANHOPE,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
478,STAWELL,3.0,1.0,1.0,0.0,5.0,GRAMPIANS
479,STRATFORD,2.0,0.0,0.0,0.0,2.0,GRAMPIANS
480,STRATHFIELDSAYE,2.0,0.0,0.0,0.0,2.0,LODDEN MALLEE
481,STRATHMERTON,1.0,0.0,0.0,0.0,1.0,HUME
482,STRATHMORE,3.0,1.0,0.0,0.0,4.0,WESTERN
483,SUNBURY,7.0,3.0,1.0,1.0,10.0,NORTHERN
484,SUNBURY,7.0,3.0,1.0,1.0,10.0,WESTERN
485,SURREY HILLS,4.0,0.0,0.0,0.0,4.0,EASTERN
486,SWAN HILL,4.0,2.0,1.0,0.0,7.0,LODDEN MALLEE
487,SWAN REACH,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
488,SYDENHAM,2.0,1.0,0.0,0.0,3.0,WESTERN
489,TALBOT,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
490,TALGARNO,1.0,0.0,0.0,0.0,1.0,HUME
491,TALLANGATTA,2.0,1.0,0.0,0.0,3.0,HUME
492,TALLAROOK,1.0,0.0,0.0,0.0,1.0,HUME
493,TALLYGAROOPNA,1.0,0.0,0.0,0.0,1.0,HUME
494,TANGAMBALANGA,1.0,0.0,0.0,0.0,1.0,HUME
495,TANJIL SOUTH,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
496,TARADALE,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
497,TARNAGULLA,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
498,TARRINGTON,1.0,0.0,0.0,0.0,1.0,BARWON
499,TATURA,3.0,0.0,0.0,0.0,3.0,HUME
500,TAWONGA,1.0,0.0,0.0,0.0,1.0,HUME
501,TEESDALE,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
502,TEMPLESTOWE,4.0,0.0,0.0,0.0,4.0,EASTERN
503,TEMPY,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
504,TERANG,2.0,1.0,0.0,1.0,2.0,BARWON
505,THE BASIN,2.0,0.0,0.0,0.0,2.0,EASTERN
506,THE PATCH,2.0,0.0,0.0,0.0,2.0,EASTERN
507,THOMASTOWN,4.0,1.0,0.0,0.0,5.0,NORTHERN
508,THOMASTOWN WEST,1.0,0.0,0.0,0.0,1.0,NORTHERN
509,THOONA,1.0,0.0,0.0,0.0,1.0,HUME
510,THORNBURY,6.0,2.0,0.0,2.0,6.0,NORTHERN
511,THORPDALE,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
512,TIMOR,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
513,TONGALA,2.0,0.0,0.0,0.0,2.0,LODDEN MALLEE
514,TOOBORAC,1.0,0.0,0.0,0.0,1.0,HUME
515,TOOLAMBA,1.0,0.0,0.0,0.0,1.0,HUME
516,TOOLANGI,1.0,0.0,0.0,0.0,1.0,HUME
517,TOONGABBIE,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
518,TOORA,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
519,TOORADIN,1.0,0.0,0.0,0.0,1.0,SOUTHERN
520,TOORAK,4.0,3.0,0.0,3.0,4.0,SOUTHERN
521,TORQUAY,2.0,0.0,0.0,0.0,2.0,BARWON
522,TRAFALGAR,2.0,1.0,0.0,0.0,3.0,GIPPSLAND
523,TRARALGON,5.0,2.0,1.0,0.0,8.0,GIPPSLAND
524,TRARALGON SOUTH,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
525,TRAWALLA,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
526,TRENTHAM,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
527,TULLAMARINE,1.0,0.0,0.0,0.0,1.0,NORTHERN
528,TUNGAMAH,1.0,0.0,0.0,0.0,1.0,HUME
529,TYABB,3.0,1.0,0.0,1.0,3.0,SOUTHERN
530,TYERS,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
531,TYLDEN,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
532,ULTIMA,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
533,ULTIMA,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
534,UNDERA,1.0,0.0,0.0,0.0,1.0,HUME
535,UNDERBOOL,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
536,UPWEY,2.0,1.0,0.0,0.0,3.0,EASTERN
537,VERMONT,4.0,1.0,0.0,1.0,4.0,EASTERN
538,VIOLET TOWN,1.0,0.0,0.0,0.0,1.0,HUME
539,WAAIA,1.0,0.0,0.0,0.0,1.0,HUME
540,WAHGUNYAH,1.0,0.0,0.0,0.0,1.0,HUME
541,WALLAN,1.0,0.0,0.0,0.0,1.0,HUME
542,WALLINGTON,1.0,0.0,0.0,0.0,1.0,BARWON
543,WALWA,1.0,0.0,0.0,0.0,1.0,HUME
544,WANDONG,1.0,0.0,0.0,0.0,1.0,HUME
545,WANGARATTA,8.0,3.0,2.0,1.0,12.0,HUME
546,WANTIRNA,3.0,1.0,0.0,0.0,4.0,EASTERN
547,WARBURTON,2.0,0.0,0.0,0.0,2.0,EASTERN
548,WARRACKNABEAL,2.0,1.0,1.0,0.0,4.0,GRAMPIANS
549,WARRAGUL,4.0,3.0,2.0,1.0,8.0,GIPPSLAND
550,WARRANDYTE,2.0,0.0,0.0,0.0,2.0,EASTERN
551,WARRENHEIP,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
552,WARRNAMBOOL,6.0,2.0,1.0,1.0,8.0,BARWON
553,WATSONIA,2.0,1.0,0.0,0.0,3.0,NORTHERN
554,WAUBRA,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
555,WELSHPOOL,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
556,WENDOUREE,3.0,1.0,0.0,1.0,3.0,GRAMPIANS
557,WERRIBEE,13.0,7.0,0.0,4.0,16.0,WESTERN
558,WHITE HILLS,2.0,0.0,0.0,0.0,2.0,LODDEN MALLEE
559,WHITFIELD,1.0,0.0,0.0,0.0,1.0,HUME
560,WHITTINGTON,1.0,0.0,1.0,0.0,2.0,BARWON
561,WHITTLESEA,2.0,1.0,0.0,0.0,3.0,NORTHERN
562,WHOROULY,1.0,0.0,0.0,0.0,1.0,HUME
563,WILLAURA,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
564,WILLIAMSTOWN,3.0,1.0,0.0,0.0,4.0,WESTERN
565,WILLOW GROVE,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
566,WILLOWMAVIN,1.0,0.0,0.0,0.0,1.0,HUME
567,WINCHELSEA,1.0,0.0,0.0,0.0,1.0,BARWON
568,WINDSOR,1.0,1.0,0.0,0.0,2.0,SOUTHERN
569,WINTON,1.0,0.0,0.0,0.0,1.0,HUME
570,WONGA PARK,2.0,0.0,0.0,0.0,2.0,EASTERN
571,WONTHAGGI,3.0,1.0,0.0,0.0,4.0,GIPPSLAND
572,WOODEND,3.0,1.0,0.0,1.0,3.0,LODDEN MALLEE
573,WOODSIDE,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
574,WOOLSTHORPE,1.0,0.0,0.0,0.0,1.0,BARWON
575,WUNGHNU,1.0,0.0,0.0,0.0,1.0,HUME
576,YAAPEET,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
577,YACKANDANDAH,1.0,0.0,0.0,0.0,1.0,HUME
578,YALLAMBIE,1.0,0.0,0.0,0.0,1.0,NORTHERN
579,YALLOURN NORTH,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
580,YARRA JUNCTION,3.0,1.0,1.0,1.0,4.0,EASTERN
581,YARRAGON,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
582,YARRAM,2.0,1.0,0.0,0.0,3.0,GIPPSLAND
583,YARRAMBAT,1.0,0.0,0.0,0.0,1.0,NORTHERN
584,YARRAVILLE,4.0,0.0,0.0,0.0,4.0,WESTERN
585,YEA,2.0,1.0,0.0,0.0,3.0,HUME
586,YINNAR,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
587,ZEERUST,1.0,0.0,0.0,0.0,1.0,HUME
588,BRUNSWICK,0.0,2.0,0.0,0.0,2.0,NORTHERN
589,BURWOOD EAST,0.0,1.0,1.0,0.0,2.0,EASTERN
590,CAULFIELD EAST,0.0,1.0,0.0,0.0,1.0,SOUTHERN
591,HERNE HILL,0.0,1.0,0.0,0.0,1.0,BARWON
592,MCKINNON,0.0,1.0,0.0,0.0,1.0,SOUTHERN
593,MELBOURNE,2.0,6.0,0.0,2.0,6.0,WESTERN
594,MULGRAVE NORTH,0.0,1.0,0.0,0.0,1.0,EASTERN
595,PARKVILLE,0.0,1.0,0.0,0.0,1.0,WESTERN
596,TAYLORS LAKES,0.0,2.0,0.0,0.0,2.0,WESTERN
597,THORNTON,0.0,1.0,0.0,0.0,1.0,HUME
598,ROSEBUD WEST,0.0,0.0,1.0,0.0,1.0,SOUTHERN
599,APOLLO BAY,1.0,1.0,0.0,1.0,1.0,BARWON
600,BIRCHIP,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
601,BOGONG,1.0,1.0,0.0,1.0,1.0,HUME
602,CANN RIVER,1.0,1.0,0.0,1.0,1.0,GIPPSLAND
603,CLYDE NORTH,1.0,1.0,0.0,1.0,1.0,SOUTHERN
604,DERRINALLUM,1.0,1.0,0.0,1.0,1.0,BARWON
605,DINGEE,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
606,GOROKE,1.0,1.0,0.0,1.0,1.0,GRAMPIANS
607,HAWKESDALE,1.0,1.0,0.0,1.0,1.0,BARWON
608,KANIVA,1.0,1.0,0.0,1.0,1.0,GRAMPIANS
609,KYABRAM,2.0,2.0,0.0,2.0,2.0,LODDEN MALLEE
610,LAKE BOLAC,1.0,1.0,0.0,1.0,1.0,GRAMPIANS
611,LAVERS HILL,1.0,1.0,0.0,1.0,1.0,BARWON
612,MACLEOD,1.0,1.0,0.0,1.0,1.0,NORTHERN
613,MALLACOOTA,1.0,1.0,0.0,1.0,1.0,GIPPSLAND
614,MANANGATANG,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
615,MURRAYVILLE,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
616,NEWHAVEN,1.0,1.0,0.0,1.0,1.0,GIPPSLAND
617,OUYEN,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
618,SASSAFRAS,1.0,1.0,0.0,1.0,1.0,EASTERN
619,SEYMOUR,1.0,1.0,0.0,1.0,1.0,HUME
620,TIMBOON,1.0,1.0,0.0,1.0,1.0,BARWON
621,TYNONG,1.0,1.0,0.0,1.0,1.0,SOUTHERN
622,WEDDERBURN,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
623,WERRIMULL,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
624,WYCHEPROOF,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
