Address,Phone_number,School_Name,School_Type,Suburb,URL,Rating
"Towerhill Road, Frankston VIC 3199",03 9783 8777,Overport Primary School,Primary,Frankston,http://www.overport-ps.vic.edu.au/,3.8
"32 St Leonards Ave, Yarraville VIC 3013",03 9314 7054,Wembley Primary School,Primary,Yarraville,http://www.wembleyps.vic.edu.au/,4.3
"959 Heatherton Road, Springvale VIC 3171",03 9546 7562,Heatherhill Primary School,Primary,Springvale,http://www.heatherhillps.vic.edu.au/,4.7
"Wood Street, Beaumaris VIC 3193",03 9589 5449,Beaumaris North Primary School,Primary,Beaumaris,http://www.beaumarisnorthps.vic.edu.au/,3.5
"27 Liege Avenue, Noble Park VIC 3174",03 9792 4406,Yarraman Oaks Primary School,Primary,Noble Park,http://www.yarramanoaksps.vic.edu.au/,4.4
"Mt Pleasant Road, Nunawading VIC 3131",03 9878 1730,Mount Pleasant Road Nunawading Primary School,Primary,Nunawading,http://www.mtpleasantroadps.vic.edu.au/,4.2
"York Street, Glenroy VIC 3046",03 9306 8955,Glenroy West Primary School,Primary,Glenroy,http://www.glenroywestps.vic.edu.au/,4.4
"52 Kirkham Road, Dandenong VIC 3175",03 9792 3726,Dandenong South Primary School,Primary,Dandenong,http://www.dandenong-south-ps.vic.edu.au/,4
"George Street, St Albans VIC 3021",03 9366 2029,St Albans North Primary School,Primary,St Albans,http://www.stalbansnth.vic.edu.au/,2.5
"Clarendon St, Avondale Heights VIC 3034",03 9318 1755,Avondale Primary School,Primary,Avondale Heights,http://www.avondaleps.vic.edu.au/,4.2
"10 Kalmia Street, Frankston VIC 3199",03 9783 4988,Frankston Heights Primary School,Primary,Frankston,http://www.frankstonhts-ps.vic.edu.au/,4
"82 Cedar Street, Thomastown VIC 3074",03 9465 3032,Thomastown East Primary School,Primary,Thomastown,http://www.thomastown-east-ps.vic.edu.au/,4.4
"36 Solomon Street, Mount Waverley VIC 3149",03 9807 8120,Mount Waverley Heights Primary School,Primary,Mount Waverley,http://mountwaverleyheightsps.vic.edu.au/,4
"Robert Street, Parkdale VIC 3195",03 9580 1207,Parktone Primary School,Primary,Parkdale,http://www.parktoneps.vic.edu.au/,4.8
"631-639 Whitehorse Road, Mitcham VIC 3132",03 9874 4371,Antonio Park Primary School,Primary,Mitcham,http://www.antoniops.vic.edu.au/,4.7
"Broadmeadows Road, Tullamarine VIC 3043",03 9338 2826,Tullamarine Primary School,Primary,Tullamarine,http://www.tullaps.vic.edu.au/,5
"12 - 14 Florence Street, Blackburn VIC 3130",03 9894 2855,Blackburn Lake Primary School,Primary,Blackburn,http://www.blps.vic.edu.au/,3.5
"Janet Street, Blackburn VIC 3130",03 9898 5811,Laburnum Primary School,Primary,Blackburn,http://www.laburnumps.vic.edu.au/,3.2
"370-380 Springvale Road, Donvale VIC 3111",03 9842 8319,Heatherwood School,Special,Donvale,http://www.heatherwood.vic.edu.au/,3.5
"27-35 Pinewood Drive, Mount Waverley VIC 3149",03 8847 3200,Pinewood Primary School,Primary,Mount Waverley,http://www.pinewood-ps.vic.edu.au/,4.3
"62-70 Blair Street, Broadmeadows VIC 3047",03 9302 6060,Broadmeadows Primary School,Primary,Broadmeadows,http://www.bps.vic.edu.au/,4.4
"111 Anderson Road, Fawkner VIC 3060",03 9359 2028,Moomba Park Primary School,Primary,Fawkner,http://www.moombaparkps.vic.edu.au/,4.1
"Hinkley Ave, Croydon VIC 3136",03 9870 1566,Ainslie Parklands Primary School,Primary,Croydon,http://ainslieparklandsps.vic.edu.au/,4.3
"38-54 Jolimont Road, Forest Hill VIC 3131",03 9878 5556,Parkmore Primary School,Primary,Forest Hill,http://www.parkmore.vic.edu.au/,4
"120 Flinders Avenue, Lara VIC 3212",03 5282 1427,Lara Primary School,Primary,Lara,https://www.laraps.vic.edu.au/,4
"18 Panfield Avenue, Ringwood VIC 3134",03 9870 2120,Mullum Primary School,Primary,Ringwood,http://www.mullumps.vic.edu.au/,4
"1 Tucker Street, Cranbourne VIC 3977",03 5996 1142,Cranbourne Park Primary School,Primary,Cranbourne,http://www.cranbournepark.vic.edu.au/,4
"Mine Street, Greensborough VIC 3088",03 9435 4181,Greenhills Primary School,Primary,Greensborough,http://www.greenhillsps.vic.edu.au/,4.4
"16 Grove Street, Eltham VIC 3095",03 9439 9793,Eltham East Primary School,Primary,Eltham,http://www.elthameastps.vic.edu.au/,2.3
"30 Belvedere Road, Seaford VIC 3198",03 9786 3205,Belvedere Park Primary School,Primary,Seaford,http://belvedereparkps.vic.edu.au/,3.5
"22-30 Essex Road, Mount Waverley VIC 3149",03 9807 4944,Essex Heights Primary School,Primary,Mount Waverley,http://www.essexheightsps.vic.edu.au/,3.3
"Adele Avenue, Ferntree Gully VIC 3156",03 9758 2811,Mountain Gate Primary School,Primary,Ferntree Gully,http://mountaingateps.vic.edu.au/,4.1
"Manuka Drive, Ferntree Gully VIC 3156",03 9758 3007,Fairhills Primary School,Primary,Ferntree Gully,http://www.fairhillshs.vic.edu.au/,3.2
"25 Tormore Road, Boronia VIC 3155",03 9762 2510,Boronia West Primary School,Primary,Boronia,http://www.boroniawestps.vic.edu.au/,3.9
"208 Hilton St, Glenroy VIC 3046",03 9304 2263,Glenroy Specialist School,Special,Glenroy,http://www.glenroyss.vic.edu.au/,5
"18 - 20 Ruskin Ave, Croydon VIC 3136",03 9723 3886,Ruskin Park Primary School,Primary,Croydon,http://www.ruskinparkps.vic.edu.au/,4.3
"1430 Heatherton Road, Dandenong VIC 3175",03 9791 8900,Emerson School,Special,Dandenong,http://www.emersonsc.vic.edu.au/,3.7
"Mallum Avenue, Frankston VIC 3199",03 9789 0514,Karingal Primary School,Primary,Frankston,http://www.karingalps.vic.edu.au/,3
"Shepherd Road, Glen Waverley VIC 3150",03 9560 0471,Mount View Primary School,Primary,Glen Waverley,http://www.mountviewps.vic.edu.au/,4.1
"14 Montgomery Avenue, Mount Waverley VIC 3149",03 9802 5277,Syndal South Primary School,Primary,Mount Waverley,http://www.syndalsp.vic.edu.au/,4.4
"64 Buena Vista Drive, Montmorency VIC 3094",03 9439 6201,Montmorency South Primary School,Primary,Montmorency,http://montysouth.vic.edu.au/,4.7
"61 Henry Street, Greensborough VIC 3088",03 9435 4617,Watsonia Heights Primary School,Primary,Greensborough,http://www.watsoniaheightsps.vic.edu.au/,4.4
"Cnr Forest & Hancock Streets, Wendouree VIC 3355",03 5339 2110,Forest Street Primary School,Primary,Wendouree,http://foreststreetps.com/,4.4
"Balmoral Avenue, Bundoora VIC 3083",03 9467 2601,Bundoora Primary School,Primary,Bundoora,http://www.bundooraps.vic.edu.au/,3.9
"Lister Street, St Albans VIC 3021",03 9366 1356,University Park Primary School,Primary,St Albans,http://universityparkps.vic.edu.au,4.4
"Norwich Street, St Albans VIC 3021",03 9366 3127,St Albans Heights Primary School,Primary,St Albans,http://www.sahps.vic.edu.au/,3.8
"15- 41 Koroit Avenue, Broadmeadows VIC 3047",03 9309 3477,Hume Valley School,Special,Broadmeadows,http://www.humevalley.vic.edu.au/,4.3
"Broome Avenue, Mentone VIC 3194",03 9583 4935,Mentone Park Primary School,Primary,Mentone,http://www.mentonepark.vic.edu.au/,5
"Elata Street, Donvale VIC 3111",03 9842 3373,Donvale Primary School,Primary,Donvale,http://donvaleps.vic.edu.au/,3.9
"Landscape Drive, Boronia VIC 3155",03 9729 2614,Boronia Heights Primary School,Primary,Boronia,http://www.boroniahtsps.vic.edu.au/,3.6
"7 Allen Street, Glen Waverley VIC 3150",03 9561 1966,Glenallen School,Special,Glen Waverley,http://www.glenallen-sch.vic.edu.au/,4
"Enfield Drive, Bayswater VIC 3153",03 9729 2862,Bayswater South Primary School,Primary,Bayswater,http://www.baysouthps.vic.edu.au/,5
"81 Hallifax Street, Seaford VIC 3198",03 9786 5674,Seaford North Primary School,Primary,Seaford,http://www.seaford-northps.vic.edu.au/,5
"39 Cleveland Street, Thomastown VIC 3074",03 9465 4350,Lalor East Primary School,Primary,Thomastown,http://www.laloreastps.vic.edu.au/,4.1
"40-46 Mulhall Drive, St Albans VIC 3021",03 9366 4322,Jackson School,Special,St Albans,http://www.jacksons.vic.edu.au/,4.8
"Cnr Palmerston & Drummond Sts, Carlton VIC 3053",03 9347 6022,Carlton Primary School,Primary,Carlton,http://carltonprimaryschool.vic.edu.au/,5
"Tintinara Crescent, Belmont VIC 3216",03 5243 2997,Oberon South Primary School,Primary,Belmont,http://www.oberonsouthps.vic.edu.au/,1.3
"33 Ashton Street, Glen Waverley VIC 3150",03 9887 8000,Highvale Primary School,Primary,Glen Waverley,http://www.highvaleps.vic.edu.au/,4.5
"89-105 Carlton Road, Dandenong VIC 3175",03 9795 2007,Wooranna Park Primary School,Primary,Dandenong,http://woorannaparkps.vic.edu.au/,5
"Heyington Avenue, Doncaster VIC 3108",03 9848 4996,Birralee Primary School,Primary,Doncaster,http://www.birralee.vic.edu.au/,4.3
"98-112 Main Street, Thomastown VIC 3074",03 9465 4317,Thomastown West Primary School,Primary,Thomastown,http://www.thomwestps.vic.edu.au/,4.2
"Paratea Drive, Rowville VIC 3178",03 9764 1955,Rowville Primary School,Primary,Rowville,http://www.rowvilleps.vic.edu.au/,4.3
"Langridge Street, Hoppers Crossing VIC 3029",03 9749 1227,Mossfiel Primary School,Primary,Hoppers Crossing,http://www.mossfielps.vic.edu.au/,3.7
"Belar Avenue, Frankston VIC 3199",03 9789 5614,Ballam Park Primary School,Primary,Frankston,http://ballamparkps.vic.edu.au,3.9
"479-491 Elizabeth Drive, Sunbury VIC 3429",03 9740 8666,Sunbury West Primary School,Primary,Sunbury,http://www.sunburywestps.vic.edu.au/,3
"15 - 25 South Circular Road, Gladstone Park VIC 3043",03 9338 2774,Gladstone Park Primary School,Primary,Gladstone Park,http://www.gladstoneparkps.vic.edu.au/,4.3
"55 Nottingham Street, Glen Waverley VIC 3150",03 9803 1330,Glendal Primary School,Primary,Glen Waverley,http://www.glendalps.vic.edu.au/,3.9
"Wattletree Road, Ferntree Gully VIC 3156",03 9758 4322,Wattle View Primary School,Primary,Ferntree Gully,http://www.wvps.vic.edu.au/,4.3
"Suite 1.4, Level 1, Parkville VIC 3052",03 93459700,Royal Childrens Hospital Education Institute,Special,Parkville,http://www.rch.org.au/education,3.3
"411 Grimshaw Street, Bundoora VIC 3083",03 9467 3972,Concord School,Special,Bundoora,http://www.concordsch.vic.edu.au/,3.4
"Quinn Street, Deer Park VIC 3023",03 9363 3519,Deer Park West Primary School,Primary,Deer Park,http://www.dpwps.vic.edu.au/,4.4
"2 Derna Crescent, Lalor VIC 3075",03 9465 4922,Lalor North Primary School,Primary,Lalor,http://www.lalornorthps.vic.edu.au/,3.8
"4 Westmelton Drive, Melton VIC 3337",03 9743 5818,Melton West Primary School,Primary,Melton,http://www.meltonwestps.vic.edu.au/,3.4
"Phyllis Street, Bayswater VIC 3153",03 9729 3394,Bayswater West Primary School,Primary,Bayswater,https://baywestps.vic.edu.au/,4.4
"Robertson Drive, Mornington VIC 3931",03 5975 4011,Mornington Park Primary School,Primary,Mornington,http://morningtonparkps.vic.edu.au/,4
"25 Lennox Street, Richmond VIC 3121",03 9427 8736,Richmond West Primary School,Primary,Richmond,http://www.richmondwestps.vic.edu.au/,4.4
"52 Kings Road, St Albans VIC 3021",03 9366 1381,Stevensville Primary School,Primary,St Albans,http://www.steveps.vic.edu.au/,4.2
"33-57 Warringa Crescent, Hoppers Crossing VIC 3029",03 9749 2770,Woodville Primary School,Primary,Hoppers Crossing,http://www.woodvilleps.vic.edu.au/,4.3
"Havana Crescent, Frankston VIC 3199",03 9789 3288,Karingal Heights Primary School,Primary,Frankston,http://www.karingalheightsps.vic.edu.au/,2.8
"38-64 Wallarano Drive, Noble Park VIC 3174",03 9798 1890,Wallarano Primary School,Primary,Noble Park,http://www.wallarano-ps.vic.edu.au/,3.5
"Bowen Road, Lilydale VIC 3140",03 9735 4670,Lilydale West Primary School,Primary,Lilydale,https://www.victoriaroadps.vic.edu.au/,3.1
"100 Victoria Street, Flemington VIC 3031",03 9376 1570,Debney Meadows Primary School,Primary,Flemington,https://www.debneymeadowsps.vic.edu.au/,4
"Prospect Hill Road, Narre Warren VIC 3805",03 9703 1187,Fountain Gate Primary School,Primary,Narre Warren,http://www.fountaingateps.vic.edu.au/,3.9
"85 Heyers Road, Grovedale VIC 3216",03 5241 4774,Grovedale West Primary School,Primary,Grovedale,http://www.gwps.vic.edu.au/,3.7
"47 Staff Street, Moe VIC 3825",03 5127 1744,Baringa Special School,Special,Moe,http://www.baringass.vic.edu.au/,5
"14 Naranga Crescent, Frankston VIC 3199",03 9788 2222,Naranga Special School,Special,Frankston,http://www.naranga.vic.edu.au/,4
"Greenaway Drive, Ferntree Gully VIC 3156",03 9763 8055,Kent Park Primary School,Primary,Ferntree Gully,http://www.kentparkps.vic.edu.au,4.1
"18-36 Mawson Avenue, Deer Park VIC 3023",03 9363 4600,Deer Park North Primary School,Primary,Deer Park,http://www.deerparknthps.vic.edu.au/,3.6
"232-246 Greaves St North, Werribee VIC 3030",03 9741 6300,Manorvale Primary School,Primary,Werribee,http://www.manorvaleps.vic.edu.au/,3.2
"195 - 227 Carrick Drive, Gladstone Park VIC 3043",03 9338 6083,Gladstone Views Primary School,Primary,Gladstone Park,http://www.gvps.vic.edu.au/,2.3
"Dimboola Road, Broadmeadows VIC 3047",03 9309 4066,Broadmeadows Valley Primary School,Primary,Broadmeadows,http://www.bvps.vic.edu.au/,3.6
"49-61 Pleasant Road, Bulleen VIC 3105",03 9850 7122,Bulleen Heights School,Special,Bulleen,http://www.bulleenheights.vic.edu.au/,3.5
"25 Farm Road, Cheltenham VIC 3192",03 9584 5805,Kingston Heath Primary School,Primary,Cheltenham,https://khps.vic.edu.au/,4
"1 Tasma Street, Ascot Vale VIC 3032",03 9370 8906,Ascot Vale Special School,Special,Ascot Vale,http://www.ascotvaless.vic.edu.au/,4
"Galahad Crescent, Glen Waverley VIC 3150",03 9803 5344,Camelot Rise Primary School,Primary,Glen Waverley,https://www.camelotrise.vic.edu.au/,4.2
"2A Laurel Street, St Albans VIC 3021",03 9364 6144,St Albans Meadows Primary School,Primary,St Albans,http://www.samps.vic.edu.au/,4.3
"39-49 Kalinda Road, Ringwood VIC 3134",03 9876 3289,Kalinda Primary School,Primary,Ringwood,http://www.kalinda.vic.edu.au/,4.9
"399-409 Church Road, Templestowe VIC 3106",03 9846 2700,Templestowe Park Primary School,Primary,Templestowe,http://www.templestoweparkps.vic.edu.au/,3.4
"63 Fordholm Road, Hampton Park VIC 3976",03 9799 1216,River Gum Primary School,Primary,Hampton Park,http://www.rivergumps.vic.edu.au/,5
"Amesbury Avenue, Wantirna VIC 3152",03 9801 3614,Regency Park Primary School,Primary,Wantirna,http://www.regency-park-ps.vic.edu.au/,4.7
"1-11 Rescorla Avenue, Croydon VIC 3136",03 9725 5038,Dorset Primary School,Primary,Croydon,http://dorsetps.vic.edu.au/,5
"13-21 Diplomat Drive, Thomastown VIC 3074",03 9466 1322,Thomastown Meadows Primary School,Primary,Thomastown,http://thomastownmeadows.vic.edu.au,4.3
"Franciscan Avenue, Frankston VIC 3199",03 9789 0077,Kingsley Park Primary School,Primary,Frankston,http://www.kingsleypark.vic.edu.au/,3.3
"29-59 James Cook Drive, Endeavour Hills VIC 3802",03 9700 2601,James Cook Primary School,Primary,Endeavour Hills,https://jamescookps.vic.edu.au/,4.1
"23 Mill Street, Aspendale VIC 3195",03 9580 0384,Yarrabah School,Special,Aspendale,http://www.yarrabah.sch.vic.edu.au/,4
"Sassafras Drive, Frankston VIC 3199",03 9789 6844,Frankston Special Developmental School,Special,Frankston,http://www.frankston-sds.vic.edu.au/,5
"Cnr Nott & Pool Streets, Port Melbourne VIC 3207",03 9646 0855,Port Phillip Specialist School,Special,Port Melbourne,http://www.portphillip.vic.edu.au/,5
"Blamey Avenue, Mill Park VIC 3082",03 9404 3337,Mill Park Primary School,Primary,Mill Park,http://www.millparkps.vic.edu.au/,4.6
"14-24 Brentwick Drive, Greensborough VIC 3088",03 9432 1022,Diamond Valley Special Developmental School,Special,Greensborough,http://www.diamondvalleysds.vic.edu.au/,5
"159-211 Coburns Road, Melton VIC 3337",03 9743 4966,Melton Specialist School,Special,Melton,http://www.meltonss.vic.edu.au/,3.6
"13-15 Sandown Road, Springvale VIC 3171",03 9546 7666,Springvale Park Special Developmental School,Special,Springvale,http://springvaleparksds.vic.edu.au/,4.3
"81 Warringa Crescent, Hoppers Crossing VIC 3029",03 9749 5774,Warringa Park School,Special,Hoppers Crossing,http://www.warringapark.vic.edu.au/,3.4
"Tuckers Road, Templestowe VIC 3106",03 9842 8182,Serpell Primary School,Primary,Templestowe,http://www.serpellps.vic.edu.au/,3
"Mcewen Drive, Sunbury VIC 3429",03 9744 4566,Kismet Park Primary School,Primary,Sunbury,http://www.kismetparkps.vic.edu.au/,4.3
"31-43 Civic Drive, Greensborough VIC 3088",03 9433 1300,Apollo Parkways Primary School,Primary,Greensborough,http://www.apolloparkps.vic.edu.au/,4
"10 Corang Avenue, Grovedale VIC 3216",03 5243 0820,Mandama Primary School,Primary,Grovedale,http://www.mandama.vic.edu.au/,3.7
"110 Duff Street, Cranbourne VIC 3977",03 5996 2878,Cranbourne West Primary School,Primary,Cranbourne,http://www.cranbournewestps.vic.edu.au/,3.6
"141 East Road, Seaford VIC 3198",03 9786 5197,Seaford Park Primary School,Primary,Seaford,http://www.seafordpark.vic.edu.au/page/60/Contact,3.8
"Crestdale Road, Wantirna VIC 3152",03 9801 7450,Templeton Primary School,Primary,Wantirna,http://www.templetonps.vic.edu.au/,4.8
"Charter Road East, Sunbury VIC 3429",03 9744 3377,Sunbury Heights Primary School,Primary,Sunbury,http://www.sunburyheightsps.vic.edu.au/,4.6
"110-120 Greenhalghs Road, Delacombe VIC 3356",03 5335 6103,Delacombe Primary School,Primary,Delacombe,http://www.delacombeps.vic.edu.au/,4.7
"Stalwart Avenue, Hastings VIC 3915",03 5979 2654,Wallaroo Primary School,Primary,Hastings,http://www.wallaroops.vic.edu.au/,4.3
"71 Scotsburn Way, Endeavour Hills VIC 3802",03 9709 7777,Mossgiel Park Primary School,Primary,Endeavour Hills,http://www.mossgielparkps.vic.edu.au/,4.8
"139-145 Mansfield Street, Berwick VIC 3806",03 9707 1766,Berwick Lodge Primary School,Primary,Berwick,http://www.berwicklodgeps.vic.edu.au,4.3
"127-143 Circular Drive, Sunbury VIC 3429",03 9744 4879,Sunbury And Macedon Ranges Specialist School,Special,Sunbury,http://wordpress.smrss.vic.edu.au/,5
"16-18 Gertz Ave, Reservoir VIC 3073",03 9462 5990,Northern School For Autism,Special,Reservoir,http://www.northernautism.vic.edu.au/,4.2
"25 Old White Hill Road, Dromana VIC 3936",03 5987 2649,Peninsula Specialist College,Special,Dromana,http://www.peninsulaspecialist.vic.edu.au/,4
"Primrose Hill Close, Endeavour Hills VIC 3802",03 9700 4455,Chalcot Lodge Primary School,Primary,Endeavour Hills,http://www.chalcotps.vic.edu.au/,4.4
"14-36 Lesdon Avenue, Cranbourne VIC 3977",03 5996 8900,Rangebank Primary School,Primary,Cranbourne,http://rangebankps.vic.edu.au/,3.3
"1-21 David Collins Drive, Endeavour Hills VIC 3802",03 9700 4488,Southern Cross Primary School,Primary,Endeavour Hills,http://www.sthcrossps.vic.edu.au/,4.5
"128b Gillespie Road, St Albans VIC 3021",03 9367 6555,Kings Park Primary School,Primary,St Albans,http://www.kpps.vic.edu.au/,4.6
"19-21 Victoria Road, Narre Warren VIC 3805",03 9704 4800,Dandenong Valley Special Developmental School,Special,Narre Warren,http://www.dandyvalley.vic.edu.au/,4.5
"40 Robertson Drive, Mornington VIC 3931",03 5975 6111,Mornington Special Developmental School,Special,Mornington,http://morningtonsds.vic.edu.au/,5
"102 Hothlyn Drive, Craigieburn VIC 3064",03 9308 3133,Craigieburn South Primary School,Primary,Craigieburn,http://craigsth.vic.edu.au/,3.7
"Cuthbert Drive, Mill Park VIC 3082",03 9404 1362,Findon Primary School,Primary,Mill Park,http://www.findonps.vic.edu.au/,3.5
"2-6 Gullane Drive, Sunbury VIC 3429",03 9744 7137,Goonawarra Primary School,Primary,Sunbury,http://www.goonawarra.vic.edu.au/,5
"120 Bellbridge Drive, Hoppers Crossing VIC 3029",03 9749 6161,Bellbridge Primary School,Primary,Hoppers Crossing,http://www.bellbridgeps.vic.edu.au/,4.1
"37-45 Mowbray Crescent, Melton VIC 3337",03 9743 0633,Kurunjang Primary School,Primary,Melton,http://www.kurunjangps.vic.edu.au/,3.3
"Cnr Bishop & Gaffney Streets, Coburg VIC 3058",03 9354 4366,Coburg Special Developmental School,Special,Coburg,http://www.coburgsds.vic.edu.au/,5
"29 - 35 Dimboola Rd, Broadmeadows VIC 3047",03 9302 1244,Broadmeadows Special Developmental School,Special,Broadmeadows,http://www.broadmeadowssds.vic.edu.au/,3.9
"85 Brighton Street, Richmond VIC 3121",03 9428 1909,Richmond Primary School,Primary,Richmond,https://richmondps.vic.edu.au/,3.9
"68-76 Davison Street, Richmond VIC 3121",03 9428 3286,Yarra Primary School,Primary,Richmond,http://yarraps.vic.edu.au/,3.2
"117 Blackwood Street, Yarraville VIC 3013",03 9314 4919,Yarraville Special Developmental School,Special,Yarraville,http://www.yarravillesds.vic.edu.au/,4
"Wentworth Avenue, Rowville VIC 3178",03 9752 8555,Park Ridge Primary School,Primary,Rowville,http://www.parkridge-ps.vic.edu.au/,4.4
"11 Duncan Road, Lalor VIC 3075",03 9464 3011,Merriang Special Developmental School,Special,Lalor,http://www.merriangsds.vic.edu.au/,2.3
"22-48 Meadow Glen Drive, Epping VIC 3076",03 9408 6222,Meadowglen Primary School,Primary,Epping,http://www.meadowglenps.vic.edu.au/,4.1
"55 Burke Street, Warragul VIC 3820",03 5623 1385,Warragul & District Specialist School,Special,Warragul,Warragul & District Specialist School,4
"145 Coral Drive, Hampton Park VIC 3976",03 9702 8398,Coral Park Primary School,Primary,Hampton Park,http://www.coralparkps.vic.edu.au/,3.9
"Maramba Drive, Narre Warren VIC 3805",03 9796 7150,Maramba Primary School,Primary,Narre Warren,http://www.maramba-ps.vic.edu.au/,3.6
"67-77 Thomas Mitchell Drive, Endeavour Hills VIC 3802",03 9706 2254,Thomas Mitchell Primary School,Primary,Endeavour Hills,http://www.tmps.vic.edu.au/contact-us/,4.5
"Karoo Road, Rowville VIC 3178",03 9759 6222,Karoo Primary School,Primary,Rowville,http://www.karoops.vic.edu.au/,4.6
"26-32 Lockwood Road, Kangaroo Flat VIC 3555",03 5447 3267,Bendigo Special Developmental School,Special,Kangaroo Flat,http://www.bendigosds.vic.edu.au/,5
"35 Gwendoline Drive, Berwick VIC 3806",03 8786 9988,Berwick Fields Primary School,Primary,Berwick,http://www.berwickfieldsps.vic.edu.au/,4.7
"Bemersyde Drive, Berwick VIC 3806",03 9702 2022,Brentwood Park Primary School,Primary,Berwick,http://www.brentwoodparkps.vic.edu.au/,3.9
"56 Dorset Road, Ferntree Gully VIC 3156",03 9758 3772,Eastern Ranges School,Special,Ferntree Gully,http://easternrangesschool.vic.edu.au/,5
"Carruthers Drive, Hoppers Crossing VIC 3029",03 9748 9011,Cambridge Primary School,Primary,Hoppers Crossing,http://www.cambridgeps.vic.edu.au/,4.1
"Rowellyn Avenue, Carrum Downs VIC 3201",03 9782 0953,Rowellyn Park Primary School,Primary,Carrum Downs,http://www.rowellynpark.vic.edu.au/,4.6
"Sycamore Street, Hoppers Crossing VIC 3029",03 9748 8688,Baden Powell P-9 College,Pri/Sec,Hoppers Crossing,http://www.bpc.vic.edu.au/,2.6
"Pindari Avenue, Mill Park VIC 3082",03 9436 8866,Mill Park Heights Primary School,Primary,Mill Park,http://www.millparkhtsps.vic.edu.au/,3.9
"Dorchester Street, Craigieburn VIC 3064",03 9305 6639,Willmott Park Primary School,Primary,Craigieburn,http://www.willmottparkps.vic.edu.au/,4.3
"85 Walls Road, Werribee VIC 3030",03 9741 0200,Thomas Chirnside Primary School,Primary,Werribee,http://www.thomaschirnsideps.vic.edu.au/,2.8
