Address,Phone_number,School_Name,School_Type,Suburb,URL,Rating
"Buckingham Drive, Rowville VIC 3178",03 9764 5533,Heany Park Primary School,Primary,Rowville,http://heanyparkps.vic.edu.au/,2.2
"Kilberry Boulevard, Hampton Park VIC 3976",03 9702 8688,Kilberry Valley Primary School,Primary,Hampton Park,http://www.kilberryps.vic.edu.au/,4.5
"61 Phillip Drive, Sunbury VIC 3429",03 9744 6432,Killara Primary School,Primary,Sunbury,http://www.killaraps.vic.edu.au/,2.3
"31-65 John Dory Drive, Ocean Grove VIC 3226",03 5256 1411,Surfside Primary School,Primary,Ocean Grove,http://www.surfsideps.vic.edu.au/,4.4
"79 - 93 Kurrajong Road, Narre Warren VIC 3805",03 9705 6055,Oatlands Primary School,Primary,Narre Warren,http://www.oatlandsps.vic.edu.au/,4.4
"Thames Boulevard, Werribee VIC 3030",03 9749 8233,Westgrove Primary School,Primary,Werribee,http://www.westgrps.vic.edu.au/,3
"76 - 94 Laura Avenue, Belmont VIC 3216",03 5243 1813,Barwon Valley School,Special,Belmont,http://www.barwonss.vic.edu.au/,5
"15 Kennedy Road, Pakenham VIC 3810",03 5941 4436,Pakenham Hills Primary School,Primary,Pakenham,http://www.pakenhamhillsps.vic.edu.au/,3.4
"22 Wells Road, Seaford VIC 3198",03 9786 6066,Kananook Primary School,Primary,Seaford,http://www.kps.vic.edu.au/,3
"77 Argus Street, Cheltenham VIC 3192",03 9583 8342,Le Page Primary School,Primary,Cheltenham,http://www.lepage.vic.edu.au/,4.4
"774 High Street Road, Glen Waverley VIC 3150",03 9802 9938,Glen Waverley Primary School,Primary,Glen Waverley,http://www.glenps.vic.edu.au/,4.4
"Albany Drive, Mulgrave VIC 3170",03 9547 1146,Albany Rise Primary School,Primary,Mulgrave,http://www.albanyrise-ps.vic.edu.au/,3.3
"39 Darwin Road, Boronia VIC 3155",03 9801 3289,Knox Central Primary School,Primary,Boronia,http://www.knoxcentral.vic.edu.au/,3.7
"Marcus Avenue, Mount Waverley VIC 3149",03 9802 3168,Mount Waverley North Primary School,Primary,Mount Waverley,http://mtwavnth.vic.edu.au/,4.3
"27 Churinga Avenue, Mitcham VIC 3132",03 9874 6381,Rangeview Primary School,Primary,Mitcham,http://www.rangeview.vic.edu.au/,4
"43-81 Browns Road, Noble Park VIC 3174",03 9795 5848,Carwatha College P-12,Pri/Sec,Noble Park,http://www.carwatha.vic.edu.au/,2.3
"Whites Lane, Glen Waverley VIC 3150",03 9560 6371,Glen Waverley South Primary School,Primary,Glen Waverley,http://www.gwsps.vic.edu.au/,4.2
"21-33 Mcpherson Boulevard, Roxburgh Park VIC 3064",03 9305 1688,Roxburgh Homestead Primary School,Primary,Roxburgh Park,http://www.roxhomesteadps.vic.edu.au/,5
"Morell Street, Glenroy VIC 3046",03 9306 7900,Belle Vue Park Primary School,Primary,Glenroy,http://www.bellevueparkps.vic.edu.au/,4.2
"159-197 Parkhill Drive, Berwick VIC 3806",03 9704 2744,Timbarra P-9 College,Pri/Sec,Berwick,http://www.timbarrap9.vic.edu.au/,3.1
"7-21 Almands Avenue, Roxburgh Park VIC 3064",03 9303 9335,Roxburgh Park Primary School,Primary,Roxburgh Park,http://www.roxburghparkps.vic.edu.au/,4.1
"261 Racecourse Road, Mornington VIC 3931",03 5973 9100,Benton Junior College,Primary,Mornington,http://www.benton.vic.edu.au/,4
"Cnr Lockwood Dr & Bluebird Way, Roxburgh Park VIC 3064",03 9305 4334,Roxburgh Rise Primary School,Primary,Roxburgh Park,http://www.roxburghrise-ps.vic.edu.au/,4.3
"365 Harvest Home Road, Epping VIC 3076",03 8468 9000,Harvest Home Primary School,Primary,Epping,http://www.harvesthomeps.vic.edu.au/,4.2
"72 Viewgrand Drive, Berwick VIC 3806",03 9707 7799,Berwick Chase Primary School,Primary,Berwick,http://berwickchaseps.vic.edu.au/,3.9
"23 Shearwater Drive, Pakenham VIC 3810",03 5940 9532,Pakenham Lakeside Primary School,Primary,Pakenham,http://www.plps.vic.edu.au/,3.9
"5 Livingstone Boulevard, Pakenham VIC 3810",03 5945 7400,Pakenham Springs Primary School,Primary,Pakenham,http://www.pakenhamsprings.vic.edu.au/,3.3
"15 Silky Oak Drive, Cranbourne VIC 3977",03 5991 3600,Cranbourne Carlisle Primary School,Primary,Cranbourne,http://www.cranbournecarlisleps.vic.edu.au/,2.3
"20 Mansfield Street, Epping VIC 3076",03 8401 3791,Epping Views Primary School,Primary,Epping,http://www.eppingviewsps.vic.edu.au/,3
"39 Violet Grove, Wendouree VIC 3355",03 5339 5555,Yuille Park P-8 Community College,Pri/Sec,Wendouree,http://www.yuilleparkcc.vic.edu.au/,2.8
"51-81 Grevillea Street, Craigieburn VIC 3064",03 8338 3700,Aitken Creek Primary School,Primary,Craigieburn,http://www.aitkencreekps.vic.edu.au/,4.5
"73-91 Hickford Street, Reservoir VIC 3073",03 9460 6995,Reservoir Views Primary School,Primary,Reservoir,http://www.reservoirviewsps.vic.edu.au/,2.1
"41 Gerbert Street, Broadmeadows VIC 3047",03 9309 2573,Meadows Primary School,Primary,Broadmeadows,http://www.meadowsps.vic.edu.au/,4
"134 Kingsway Drive, Lalor VIC 3075",03 9465 1351,Lalor Gardens Primary School,Primary,Lalor,http://www.lalorgardensps.vic.edu.au/,3.2
"32-52 Wareham Street, Springvale VIC 3171",03 9546 3799,Springvale Rise Primary School,Primary,Springvale,http://springvaleriseps.vic.edu.au/,3.8
"24 Erica Street, Springvale VIC 3171",03 9546 6402,Spring Parks Primary School,Primary,Springvale,http://springparksps.vic.edu.au/,3.5
"Kookaburra Avenue, Werribee VIC 3030",03 9741 4549,Wyndham Park Primary School,Primary,Werribee,http://www.wyndhamparkps.vic.edu.au/,4
"10 Logan Street, Glenroy VIC 3046",03 9306 4144,Glenroy Central Primary School,Primary,Glenroy,http://www.glenroycentralps.vic.edu.au/,4
"60 Merrilands Road, Reservoir VIC 3073",03 9460 1668,William Ruthven Primary School,Primary,Reservoir,http://www.williamruthvenps.vic.edu.au/,4.5
"202-226 Newbury Boulevard, Craigieburn VIC 3064",03 8691 6900,Newbury Primary School,Primary,Craigieburn,http://newburyps.vic.edu.au/,4.5
"805 High Street, Epping VIC 3076",03 9408 6362,Epping Primary School,Primary,Epping,http://www.eppingps.vic.edu.au/,3.4
"25 Stretton Drive, Torquay VIC 3228",03 5218 5600,Torquay Coast Primary School,Primary,Torquay,http://www.torquaycoastps.vic.edu.au/,3
"141 Henry Road, Pakenham VIC 3810",03 5908 9500,John Henry Primary School,Primary,Pakenham,http://jhps.vic.edu.au/,4.9
"Cnr Cromwell St/McCutcheon Way, Collingwood VIC 3066",03 9417 6681,Collingwood College,Pri/Sec,Collingwood,https://www.collingwood.vic.edu.au/,2.9
"2 Rundell Way, Pakenham VIC 3810",03 5941 1511,Pakenham Consolidated School,Primary,Pakenham,http://www.pakconps.vic.edu.au/,3.6
"315 Clarendon Street, Thornbury VIC 3071",03 8480 0000,Distance Education Centre Victoria,Pri/Sec,Thornbury,http://www.distance.vic.edu.au/,3.3
"315 Clarendon Street, Thornbury VIC 3071",03 9474 0500,Victorian School Of Languages,Pri/Sec,Thornbury,https://www.vsl.vic.edu.au/,4
"246 Clayton Road, Clayton VIC 3168",03 8572 3100,Monash Children's Hospital School,Special,Clayton,https://monashchildrenshospital.org/school/,4
"950 South Gippsland Highway, Cranbourne VIC 3977",03 5996 0144,Lyndhurst Secondary College,Secondary,Cranbourne,http://lyndhurst.vic.edu.au/,2.9
"110 Harrisons Road, Dromana VIC 3936",03 5987 2805,Dromana Secondary College,Secondary,Dromana,https://www.dsc.vic.edu.au/,4
"19 Wingarra Drive, Grovedale VIC 3216",03 5245 4545,Grovedale College,Secondary,Grovedale,http://grovedale.vic.edu.au/,2.7
"57 - 75 Olympic Parade, Kangaroo Flat VIC 3555",03 5447 7722,Crusoe 7-10 Secondary College,Secondary,Kangaroo Flat,http://www.crusoecollege.vic.edu.au/,3
"35 Duncan Road, Lalor VIC 3075",03 9464 0122,Peter Lalor Secondary College,Secondary,Lalor,http://www.peterlalor.vic.edu.au/,2.6
"17-19 Nelson Road, Lilydale VIC 3140",03 9735 1133,Lilydale Heights College,Secondary,Lilydale,https://www.lilydaleheights.vic.edu.au/,4.1
"59 Olympic Avenue, Mount Clear VIC 3353",03 5330 1500,Mount Clear College,Secondary,Mount Clear,http://mountclearcollege.vic.edu.au/,2.3
"62 Murray Road, Preston VIC 3072",03 9478 1333,Northern College of the Arts and Technology,Secondary,Preston,http://ncat.vic.edu.au/,3.3
"505 Burwood Road, Hawthorn VIC 3122",03 8862 4400,Swinburne Senior Secondary College,Secondary,Hawthorn,http://www.sssc.vic.edu.au/,4.3
"101 Shaws Road, Werribee VIC 3030",03 9741 4911,Wyndham Central Secondary College,Secondary,Werribee,https://www.wyndhamcentralsc.vic.edu.au/,3.2
"55 Laurel Street, Whittlesea VIC 3757",03 9719 1200,Whittlesea Secondary College,Secondary,Whittlesea,http://www.whittleseasc.vic.edu.au/,2.5
"14 Orchard Road, Bayswater VIC 3153",03 8720 7555,Bayswater Secondary College,Secondary,Bayswater,http://www.bayswatersc.vic.edu.au/,3.6
"117 - 136 Reserve Road, Beaumaris VIC 3193",3,Beaumaris Secondary College,Secondary,Beaumaris,http://www.beaumarissc.vic.edu.au/,3.4
"Rotherham Street, Belmont VIC 3216",03 5243 5355,Belmont High School,Secondary,Belmont,http://www.bhs.vic.edu.au/,3.8
"Manuka Road, Berwick VIC 3806",03 8768 1000,Berwick Secondary College,Secondary,Berwick,http://www.berwickcollege.vic.edu.au/,2.6
"60 Springfield Road, Blackburn VIC 3130",03 8804 6464,Blackburn High School,Secondary,Blackburn,http://www.blackburnhs.vic.edu.au/,2.7
"1180 Whitehorse Road, Box Hill VIC 3128",03 9877 1177,Box Hill High School,Secondary,Box Hill,http://www.boxhillhs.vic.edu.au/,4.3
"65-71 Watsons Road, Glen Waverley VIC 3150",03 8545 0300,Brentwood Secondary College,Secondary,Glen Waverley,http://www.brentwood.vic.edu.au/,3.7
"Cooper Street, Essendon VIC 3040",03 9331 9999,Buckley Park College,Secondary,Essendon,http://www.buckleyparkco.vic.edu.au/,2.8
"Prospect Hill Road, Canterbury VIC 3126",03 9836 0555,Camberwell High School,Secondary,Canterbury,http://www.camhigh.vic.edu.au/index.php?lang=en,2.5
"16 Mangarra Road, Canterbury VIC 3126",03 9830 5099,Canterbury Girls Secondary College,Secondary,Canterbury,http://www.cgsc.vic.edu.au/,4.1
"73-75 Bernard Street, Cheltenham VIC 3192",03 9555 5955,Cheltenham Secondary College,Secondary,Cheltenham,http://www.cheltsec.vic.edu.au/,2.8
"Stawell Street, Cranbourne VIC 3977",03 5996 3544,Cranbourne Secondary College,Secondary,Cranbourne,http://www.cranbournesc.vic.edu.au/,3
"177-181 Mt Dandenong Road, Croydon VIC 3136",03 9724 2900,Croydon Community School,Secondary,Croydon,http://www.croydoncs.vic.edu.au/,4.2
"167-175 Mt Alexander Road, Flemington VIC 3031",03 9376 1622,Mount Alexander 7-12 College,Secondary,Flemington,http://www.mountalexandercollege.vic.edu.au/,3.9
"123 Church Road, Doncaster VIC 3108",03 9848 4677,Doncaster Secondary College,Secondary,Doncaster,http://www.doncastersc.vic.edu.au/,3.3
"30-60 Withers Way, Eltham VIC 3095",03 9430 5111,Eltham High School,Secondary,Eltham,http://www.elthamhs.vic.edu.au/,3.3
"101 Glenhuntly Road, Elwood VIC 3184",03 9531 9566,Elwood College,Secondary,Elwood,http://elwood.vic.edu.au/,3.1
"Mcdonalds Road, Epping VIC 3076",03 9401 2599,Epping Secondary College,Secondary,Epping,http://www.eppingsc.vic.edu.au/,3.6
"298 Barkly Street, Footscray VIC 3011",03 9689 4788,Gilmore College For Girls,Secondary,Footscray,http://www.gilmorecollegeforgirls.vic.edu.au/,2.8
"97 Foot Street, Frankston VIC 3199",03 9783 7955,Frankston High School,Secondary,Frankston,http://www.fhs.vic.edu.au/,3
"14 - 36 Taylor Drive, Gladstone Park VIC 3043",03 9933 0500,Gladstone Park Secondary College,Secondary,Gladstone Park,http://www.gladstoneparksc.vic.edu.au/,3
"53 Balmoral Avenue, Bundoora VIC 3083",03 9467 1511,Bundoora Secondary College,Secondary,Bundoora,http://www.bundoorasc.vic.edu.au/,3.1
"215 High Street, Hastings VIC 3915",03 5979 1577,Western Port Secondary College,Secondary,Hastings,http://www.westernportsc.vic.edu.au/,3
"Capital Avenue, Glen Waverley VIC 3150",03 9803 5144,Highvale Secondary College,Secondary,Glen Waverley,http://www.highvalesc.vic.edu.au/,2.7
"405 Racecourse Rd, Kensington VIC 3031",03 9376 1953,Kensington Community High School,Secondary,Kensington,http://www.kchs.vic.edu.au/,4.7
"118 David Street, Lalor VIC 3075",03 9463 7300,Lalor Secondary College,Secondary,Lalor,http://www.lalorsc.vic.edu.au/,3.2
"114 Childs Road, Epping VIC 3076",03 9401 3888,Lalor North Secondary College,Secondary,Epping,http://lalornthsc.vic.edu.au/,3
"25 Melba Avenue, Lilydale VIC 3140",03 9735 5644,Lilydale High School,Secondary,Lilydale,http://www.lilydalehs.vic.edu.au/,2.4
"Cnr Gleadell & Highett Street, Richmond VIC 3121",03 9428 4421,Lynall Hall Community School,Secondary,Richmond,http://www.lynallhall.vic.edu.au,4
"2 Little Ryrie Street, Geelong VIC 3220",03 4243 0500,Matthew Flinders Girls Secondary College,Secondary,Geelong,http://mfgsc.vic.edu.au/,3.3
"Coburns Road, Melton VIC 3337",03 9743 3322,Melton Secondary College,Secondary,Melton,http://www.meltonsc.vic.edu.au/,3
"Cnr Balcombe & Charman Rds, Mentone VIC 3194",03 9581 5200,Mentone Girls Secondary College,Secondary,Mentone,http://mgsc.vic.edu.au/,3.3
"Para Road, Montmorency VIC 3094",03 9422 1500,Montmorency Secondary College,Secondary,Montmorency,http://www.montysc.vic.edu.au/,3.2
"1 Station Street, Mordialloc VIC 3195",03 9580 1184,Mordialloc College,Secondary,Mordialloc,http://mcsc.vic.edu.au/,3.9
"9 Lechte Road, Mount Waverley VIC 3149",03 9803 6811,Mount Waverley Secondary College,Secondary,Mount Waverley,http://www.mwsc.vic.edu.au/,2.8
"Byron Street, Ringwood VIC 3134",03 9871 0400,Norwood Secondary College,Secondary,Ringwood,http://www.norwood.vic.edu.au/,3
"12 Pickett Crescent, Belmont VIC 3216",03 5243 4444,Oberon High School,Secondary,Belmont,http://oberonhs.vic.edu.au/,4.1
"1020 Princes Highway, Pakenham VIC 3810",03 5945 1433,Pakenham Secondary College,Secondary,Pakenham,http://www.pakenhamsc.vic.edu.au/,3.1
"Warren Road, Mordialloc VIC 3195",03 9580 6311,Parkdale Secondary College,Secondary,Mordialloc,http://www.parkdalesc.vic.edu.au/,2.6
"Lake Avenue, Pascoe Vale VIC 3044",03 9306 2544,Pascoe Vale Girls Secondary College,Secondary,Pascoe Vale,http://www.pvgc.vic.edu.au/,3.1
"Bedford Road, Ringwood VIC 3134",03 9870 2002,Ringwood Secondary College,Secondary,Ringwood,http://www.ringwoodsc.vic.edu.au/,3.4
"6 Gleadell Street, Richmond VIC 3121",03 8396 6399,Richmond High School,Secondary,Richmond,http://rhs.vic.edu.au/,5
"Cavell Street, Scoresby VIC 3179",03 9765 4100,Scoresby Secondary College,Secondary,Scoresby,http://www.scoresbysc.vic.edu.au/,3.3
"289 Main Road East, St Albans VIC 3021",03 9366 2555,St Albans Secondary College,Secondary,St Albans,http://www.stalbanssc.vic.edu.au/,2.8
"30 Racecourse Road, Sunbury VIC 3429",03 9744 1066,Sunbury College,Secondary,Sunbury,http://www.sunburysc.vic.edu.au/,2.7
"350 Sydney Road, Brunswick VIC 3056",03 9380 9417,Sydney Road Community School,Secondary,Brunswick,http://sydneyrdcs.wordpress.com/,4.4
"80-96 Main Street, Thomastown VIC 3074",03 9465 0844,Thomastown Secondary College,Secondary,Thomastown,http://thomassc.vic.edu.au/,3.4
"77 Story Street, Parkville VIC 3052",03 9347 2022,University High School,Secondary,Parkville,http://www.unihigh.vic.edu.au/,3.1
"60-70 Donald Cameron Drive, Roxburgh Park VIC 3064",03 9930 8100,Roxburgh College,Secondary,Roxburgh Park,http://www.roxburghcollege.vic.edu.au/,2.6
"27 - 63 Morack Road, Vermont VIC 3133",03 9873 1077,Vermont Secondary College,Secondary,Vermont,http://www.vermontsc.vic.edu.au/,3.7
"68 Bemersyde Drive, Berwick VIC 3806",03 9707 7600,Kambrya College,Secondary,Berwick,http://www.kambryacollege.com/,3
"263 McCormicks Road, Carrum Downs VIC 3201",03 9788 9100,Carrum Downs Secondary College,Secondary,Carrum Downs,http://cdsc.vic.edu.au/,3.8
"Harold Street, Wantirna VIC 3152",03 9801 9700,Wantirna College,Secondary,Wantirna,http://www.wantirnacollege.vic.edu.au/,2.9
"91 Police Road, Mulgrave VIC 3170",03 9547 6822,Wellington Secondary College,Secondary,Mulgrave,http://www.wellingtonsc.vic.edu.au/,3.2
"45 Duncans Road, Werribee VIC 3030",03 9741 1822,Werribee Secondary College,Secondary,Werribee,http://www.werribeesc.vic.edu.au/,3.1
"76 Pasco Street, Williamstown VIC 3016",03 9397 1899,Williamstown High School,Secondary,Williamstown,http://www.willihigh.vic.edu.au/,3.4
"102 Hothlyn Drive, Craigieburn VIC 3064",03 9308 1144,Craigieburn Secondary College,Secondary,Craigieburn,http://www.craigieburnsc.vic.edu.au/,3.6
"855 Plenty Road, Reservoir VIC 3073",03 9466 0900,Reservoir High School,Secondary,Reservoir,http://www.reservoirhs.vic.edu.au/,3
"58 - 96 Fordholm Road, Hampton Park VIC 3976",03 8795 9400,Hampton Park Secondary College,Secondary,Hampton Park,http://www.hpsc.vic.edu.au/,3.5
"2 Fraser Street, Hoppers Crossing VIC 3029",03 9974 7777,Hoppers Crossing Secondary College,Secondary,Hoppers Crossing,https://www.hopcross.vic.edu.au/,3.3
"Kurunjang Drive, Melton VIC 3337",03 9743 9211,Kurunjang Secondary College,Secondary,Melton,http://www.kurunjangsc.vic.edu.au/,3.1
"148-174 Mitchells Lane, Sunbury VIC 3429",03 9744 0500,Sunbury Downs Secondary College,Secondary,Sunbury,http://www.sunburydowns.vic.edu.au/,2.5
"78 - 98 Eel Race Road, Seaford VIC 3198",03 8770 6700,Patterson River Secondary College,Secondary,Seaford,http://www.prsc.vic.edu.au/,4.3
"17 Paratea Drive, Rowville VIC 3178",03 9755 4555,Rowville Secondary College,Secondary,Rowville,https://www.rowvillesc.vic.edu.au/,3.6
"456 Springfield Road, Mitcham VIC 3132",03 9874 3422,Mullauna Secondary College,Secondary,Mitcham,http://www.mullauna.vic.edu.au/,3.1
"19 Cambridge Street, Collingwood VIC 3066",03 9419 7633,Collingwood English Language School,Language,Collingwood,http://www.collingwoodels.vic.edu.au/,4.3
"21-35 Thomas Street, Noble Park VIC 3174",03 9546 9578,Noble Park English Language School,Language,Noble Park,http://www.nobleparkels.vic.edu.au/,4.2
"Nell Street, Greensborough VIC 3088",03 9433 2666,Greensborough Secondary College,Secondary,Greensborough,http://www.greensc.vic.edu.au/,2.9
"9 - 25 Moorhead Drive, Mill Park VIC 3082",03 9407 9700,Mill Park Secondary College,Secondary,Mill Park,http://www.millparksc.vic.edu.au/,3.2
"30 Deloraine Drive, Hoppers Crossing VIC 3029",03 9748 9166,The Grange P-12 College,Pri/Sec,Hoppers Crossing,http://www.thegrange.vic.edu.au/,2.8
"238 Collins Street, Thornbury VIC 3071",03 9480 4066,Thornbury High School,Secondary,Thornbury,http://www.thornburyhs.vic.edu.au/,3.4
"29-69 Kororoit Creek Road, Williamstown VIC 3016",03 9393 5800,Bayside P-12 College,Pri/Sec,Williamstown,http://www.bayside.vic.edu.au/,2.9
"1051 Nepean Highway, Mornington VIC 3931",03 5970 0200,Mornington Secondary College,Secondary,Mornington,http://www.mornsc.vic.edu.au/,3
"47 Dawson Street, Brunswick VIC 3056",03 9387 6133,Brunswick Secondary College,Secondary,Brunswick,http://www.brunswick.vic.edu.au/,3.6
"13-21 O'Sullivan Road, Glen Waverley VIC 3150",03 8805 6700,Glen Waverley Secondary College,Secondary,Glen Waverley,http://www.gwsc.vic.edu.au/,3.8
"3 Callaghan Street, Noble Park VIC 3174",03 9546 9066,Noble Park Secondary College,Secondary,Noble Park,https://www.nobleparksc.vic.edu.au/,2.9
"Yarra Boulevard, Richmond VIC 3121",03 9428 8955,Melbourne Girls College,Secondary,Richmond,http://www.mgc.vic.edu.au/,3.9
"72-96 Newark Avenue, Newborough VIC 3825",03 5127 9200,Lowanna College,Secondary,Newborough,http://www.lowanna.vic.edu.au/,2.7
"Etty Street, Castlemaine VIC 3450",03 5479 1111,Castlemaine Secondary College,Secondary,Castlemaine,http://www.csc.vic.edu.au/,3
"55 Burke Street, Warragul VIC 3820",03 5623 9900,Warragul Regional College,Secondary,Warragul,http://www.wrc.vic.edu.au/contact-us/,2.6
"Cnr Forest St And Giot Dve, Wendouree VIC 3355",03 5336 7200,Ballarat Secondary College,Secondary,Wendouree,http://www.ballaraths.vic.edu.au/,2.7
"Belar Avenue, Frankston VIC 3199",03 9789 4544,McClelland Secondary College,Secondary,Frankston,http://www.mcclellandcollege.vic.edu.au/,2.9
"1 Kinnear Street, Footscray VIC 3011",03 8387 1500,Footscray City College,Secondary,Footscray,http://www.footscray.vic.edu.au/,3
"34 Alkara Avenue, Lara VIC 3212",03 5282 8988,Lara Secondary College,Secondary,Lara,http://www.larasc.vic.edu.au/,2
"101 Urquhart Street, Coburg VIC 3058",03 9353 1700,Coburg High School,Secondary,Coburg,http://www.coburg.vic.edu.au/,3.4
"2-30 Hampton Street, Craigieburn VIC 3064",03 8338 3600,Mount Ridley P-12 College,Pri/Sec,Craigieburn,http://www.mountridleycollege.vic.edu.au/,3.2
"39 Innovation Walk, Clayton VIC 3800",03 9905 1002,John Monash Science School,Secondary,Clayton,http://www.jmss.vic.edu.au/,4.2
"103 A Grieve Parade, Altona VIC 3018",03 9250 8050,Altona P-9 College,Pri/Sec,Altona,http://www.altonap9college.vic.edu.au/,3.4
"92-106 Princes Highway, Dandenong VIC 3175",03 9792 0561,Dandenong High School,Secondary,Dandenong,http://www.dandenong-hs.vic.edu.au/,3.9
"60-78 Tanderrum Way, Broadmeadows VIC 3047",03 9066 3600,Hume Central Secondary College,Secondary,Broadmeadows,http://www.humecentralsc.vic.edu.au/,2.6
"100 Clyde Road, Berwick VIC 3806",03 8762 4600,Nossal High School,Secondary,Berwick,http://nossalhs.vic.edu.au/,4.3
"225 Hoppers Lane, Werribee VIC 3030",03 8734 2800,Suzanne Cory High School,Secondary,Werribee,http://www.suzannecoryhs.vic.edu.au/,4.1
"58 Reema Boulevard, Endeavour Hills VIC 3802",03 9708 1319,Gleneagles Secondary College,Secondary,Endeavour Hills,http://www.gleneagles.vic.edu.au/,2.5
"45 Josephine Avenue, Narre Warren VIC 3805",03 8762 6839,Fountain Gate Secondary College,Secondary,Narre Warren,http://www.fountaingatesc.vic.edu.au/,2.5
"29-47 Stewart Street, Seymour VIC 3660",03 5771 1300,Seymour College,Pri/Sec,Seymour,http://www.seymourcollege.vic.edu.au/,1
"83 Danks Street, Albert Park VIC 3206",03 8695 9000,Albert Park College,Secondary,Albert Park,http://www.albertparkcollege.vic.edu.au/,3
"5A Jamieson Street, St Albans VIC 3021",03 8312 0200,Victoria University Secondary College,Secondary,St Albans,http://www.vusc.vic.edu.au/,2.6
"120 Glenroy Road, Glenroy VIC 3046",03 9304 0400,Glenroy Secondary College,Secondary,Glenroy,http://www.glenroycollege.vic.edu.au/,2.6
"Jukes Road, Fawkner VIC 3060",03 9359 1166,John Fawkner Secondary College,Secondary,Fawkner,http://www.jfc.vic.edu.au/,3.7
"60 Merrilands Road, Reservoir VIC 3073",03 9462 2177,William Ruthven Secondary College,Secondary,Reservoir,http://www.williamruthvensc.vic.edu.au/,2.1
"53 - 71 Hertford Street, Sebastopol VIC 3356",03 5329 3293,Phoenix P-12 Community College,Pri/Sec,Sebastopol,http://www.phoenix.vic.edu.au/,3.6
"3-25 Goldsworthy Road, Corio VIC 3214",03 5224 9700,Northern Bay P-12 College,Pri/Sec,Corio,http://www.northernbaycollege.vic.edu.au/,4.3
"75 White Street, Torquay VIC 3228",03 5261 6633,Surf Coast Secondary College,Secondary,Torquay,http://www.surfcoastsecondarycollege.vic.edu.au/,3.3
"Brentnall Road, Croydon VIC 3136",03 9870 4551,Melba Secondary College,Secondary,Croydon,http://melba.vic.edu.au/,3.1
"35-37 Albert Avenue, Boronia VIC 3155",03 9760 4900,Boronia K-12 College,Pri/Sec,Boronia,http://www.boroniak-12.vic.edu.au/,3.2
"900-930 Park Street, Parkville VIC 3052",03 5421 3100,Parkville College,Special,Parkville,http://parkvillecollege.vic.edu.au/,4
